RunTime,RealTime,RouteLength
22.9,4462.53,21963
16.0,4550.51,21022
22.6,4409.43,22011
21.3,4415.15,21644
18.1,4541.94,21600
16.1,4461.99,21483
18.8,4462.93,21977
18.1,4601.79,21730
20.6,4505.18,20972
15.8,4531.56,20111
15.4,4385.86,21450
22.4,4496.01,21772
21.0,4499.43,21283
22.8,4420.81,21036
21.8,4509.42,21411
22.1,4520.37,22066
17.7,4409.12,21336
22.1,4547.12,21063
23.1,4716.02,21652
20.8,4508.53,21877
16.8,4528.38,21069
18.8,4578.33,22522
22.0,4545.14,20991
22.2,4479.85,21605
20.7,4451.68,20952
16.9,4546.38,21780
22.2,4492.99,20919
19.7,4494.57,21011
17.4,4678.68,21800
20.2,4380.81,21536
16.2,4509.81,20902
17.5,4516.04,22313
19.9,4440.87,21680
21.6,4467.81,22052
19.1,4477.72,21769
19.3,4447.35,21647
19.9,4471.45,21700
23.7,4447.58,21511
16.2,4470.91,21347
15.4,4413.22,21144
18.5,4587.01,22066
18.5,4514.75,21413
21.9,4512.09,21705
16.4,4453.29,21597
22.0,4423.28,21472
21.7,4410.77,21491
20.2,4460.15,21486
16.4,4492.28,22427
19.1,4585.38,21116
22.1,4521.37,21941
20.0,4520.82,21244
17.4,4489.91,22000
23.3,4484.63,22208
18.7,4392.58,21433
21.3,4539.93,21288
23.5,4426.82,21477
21.3,4496.01,22816
20.6,4445.29,21663
16.3,4473.89,21091
23.1,4519.77,21405
15.2,4615.11,22383
22.6,4498.51,22452
22.0,4407.90,21333
22.1,4502.40,20888
21.8,4445.43,22038
21.8,4638.15,22838
15.5,4478.27,21486
17.2,4492.78,22227
20.3,4520.22,21855
17.7,4426.40,21319
19.3,4491.26,21922
15.2,4478.34,22236
19.0,4465.11,21377
22.7,4465.07,21652
17.1,4401.09,21927
23.3,4542.90,22361
19.5,4492.34,21475
21.2,4460.58,22197
17.6,4479.44,21600
20.3,4463.99,21777
21.8,4480.49,21552
22.2,4526.95,22338
21.3,4426.19,21727
22.5,4472.33,22066
22.3,4513.33,22125
19.5,4487.00,21627
18.8,4407.31,21783
20.3,4566.65,20922
23.2,4454.91,21375
21.4,4629.64,21902
21.0,4418.51,21419
16.9,4453.13,21700
22.9,4453.56,21675
22.5,4501.33,22208
24.0,4496.36,22741
21.3,4638.97,21900
20.9,4511.55,21597
22.1,4481.95,21697
16.0,4466.07,21486
23.0,4516.29,21305
23.5,4490.66,22430
15.8,4427.96,22130
23.1,4421.76,21730
22.8,4443.78,21211
23.1,4424.79,21761
20.1,4472.50,21525
18.9,4471.92,21986
17.1,4414.70,21755
18.0,4465.58,20941
17.8,4410.16,21400
22.6,4494.13,21647
16.6,4514.29,20872
18.9,4542.29,22633
21.3,4485.40,21894
15.3,4397.75,21358
15.8,4491.17,21630
18.5,4436.01,21138
20.4,4455.44,21291
22.3,4386.83,21452
22.5,4482.72,22469
23.4,4474.24,21702
20.9,4531.91,22172
15.3,4577.52,21250
17.3,4500.87,22555
17.8,4655.49,22036
21.3,4510.58,21983
23.3,4502.74,21680
19.2,4528.51,22219
15.2,4461.37,21461
17.2,4551.40,22716
16.2,4593.68,20969
20.7,4483.04,21463
22.1,4526.14,21694
22.9,4523.96,22575
21.8,4411.43,21522
23.1,4471.92,21986
20.2,4587.16,22288
15.0,4541.31,21733
16.0,4440.34,21244
22.0,4443.78,21625
21.0,4803.10,20886
16.9,4582.95,22252
17.5,4465.33,21327
