RunTime,RealTime,RouteLength
23.1,4548.60,20919
16.4,4493.16,21144
22.3,4442.95,21897
18.5,4539.28,20311
21.6,4507.41,20997
18.8,4517.48,22183
15.6,4535.49,22125
20.3,4614.93,22288
21.8,4475.92,21100
23.0,4552.48,20219
15.1,4629.41,21172
21.6,4622.29,21963
15.4,4580.42,22333
22.2,4435.78,21111
20.3,4528.92,20941
22.8,4435.98,21825
23.2,4542.26,22805
22.5,4454.26,22002
15.8,4498.52,21541
23.3,4540.96,21661
16.0,4541.02,21641
16.5,4390.03,21238
22.8,4554.09,20516
17.8,4599.58,21366
22.3,4529.77,22327
17.6,4834.33,22244
21.7,4484.29,20772
17.6,4686.66,21836
19.5,4610.15,21461
23.3,4500.66,21513
17.5,4578.87,20741
15.2,4476.19,21911
18.2,4436.83,21605
22.9,4505.39,22338
20.3,5020.73,22361
21.6,4484.82,21650
19.6,4515.69,20750
23.3,4810.05,22930
16.8,4701.16,21633
15.4,4400.94,21680
23.6,4568.83,21544
20.5,4520.60,21219
21.8,4506.28,21691
17.1,4472.26,21172
16.3,4546.30,20800
22.2,4464.75,21980
15.6,4481.21,21630
22.8,4478.95,21958
18.7,4551.61,22266
18.8,4532.46,21827
22.7,4580.20,20863
21.5,4499.81,21652
19.2,4658.84,21866
20.2,4513.06,22305
20.2,4508.05,21647
22.7,4431.79,21644
15.9,4531.57,21500
22.9,4570.25,22338
19.5,4464.46,21491
23.9,4561.23,21538
17.1,4427.11,21644
20.1,4514.15,22438
22.5,4483.98,22261
23.8,4499.38,20994
16.1,4506.18,21677
23.0,4493.47,21552
20.4,4451.54,21741
21.3,4527.03,20633
16.1,4473.49,21677
22.3,4441.52,21547
17.2,4579.73,21525
18.2,4537.17,20555
19.3,4549.18,22350
21.7,4577.15,20422
22.1,4519.48,21413
19.1,4631.81,22100
21.0,4519.95,21758
17.5,4583.13,22550
17.9,4547.70,21005
16.9,4542.00,22575
22.7,4524.70,22013
20.3,4560.92,22475
17.9,4586.30,21752
21.8,4432.96,21869
22.7,4574.74,21283
21.2,4880.10,21886
19.5,4536.77,21694
15.8,4556.78,20877
