RunTime,RealTime,RouteLength
16.9,4491.54,22494
22.3,4576.04,22066
20.3,4557.81,21658
15.8,5073.59,21186
20.8,4619.51,21975
19.1,4507.49,21733
21.9,4536.05,20616
20.5,4507.85,21641
20.0,4424.82,21552
19.1,4555.36,22172
22.8,4429.60,21686
17.6,4580.77,21397
18.3,4561.31,21830
16.3,4538.03,22058
17.1,4505.91,22336
19.5,4480.74,21797
18.6,4557.49,22661
21.7,4639.97,23002
16.4,4673.13,21675
16.9,4475.78,21577
16.0,4477.11,22116
21.7,4431.26,21908
20.4,4510.62,20744
16.3,4521.25,21197
22.0,4477.61,21583
15.8,4609.80,21680
22.1,4484.40,21144
18.5,4509.60,22313
20.0,4497.56,20958
21.9,4515.95,21900
21.8,4495.15,21722
17.2,4510.44,20519
15.1,4533.01,21200
19.8,4603.25,22161
17.3,4451.76,21650
22.0,4494.11,22133
20.9,4518.01,22044
21.7,4471.25,21594
22.8,4629.38,21044
23.6,4469.48,21811
21.1,4566.41,20991
17.0,4574.04,21080
16.7,4425.86,21222
22.3,4538.09,21883
19.8,4502.05,22097
23.7,4536.20,21569
20.3,5463.38,22555
18.0,4460.41,21355
21.1,4476.20,22161
23.5,4665.41,21544
17.2,4520.92,22025
22.2,4617.65,22250
18.9,4460.68,22486
21.7,4576.93,21161
18.6,4467.62,22405
21.8,4564.58,22216
17.2,4591.08,21958
21.8,4731.23,21780
22.9,4479.65,22402
23.1,4506.59,21627
21.0,4560.19,22269
16.5,4513.29,22730
15.9,4537.16,21644
19.6,4630.86,21902
21.9,4407.57,21972
16.7,4541.49,19983
22.3,4533.77,21819
16.3,4583.44,21302
22.7,4637.14,21533
22.9,4536.77,21452
15.0,4475.35,21475
19.5,4475.08,22358
22.2,4436.88,22344
23.1,4617.69,21133
21.5,4490.36,22513
21.8,4481.72,20863
19.4,4514.14,22027
15.6,4524.53,22733
22.3,4590.15,22508
16.1,4570.87,22066
16.2,4640.46,22516
19.2,4594.12,22522
20.2,4507.74,22661
16.3,4516.82,22116
15.9,4479.33,21336
15.4,4542.06,22013
21.3,4507.43,21308
24.1,4531.24,20802
21.6,4506.51,20397
14.9,4464.49,21147
22.1,4628.91,22758
21.0,4514.52,20758
22.7,4618.86,22694
17.1,4537.75,20819
23.5,4487.42,21983
21.2,4631.41,23022
22.3,4507.34,21777
23.5,4585.79,22530
19.2,4440.34,21591
19.6,4485.15,21827
20.7,4657.09,21708
22.0,4643.31,21677
16.8,4543.27,21247
16.0,4595.16,20975
18.0,4499.02,22061
21.9,4534.48,21908
19.0,4404.08,21255
17.9,4786.99,21919
18.7,4505.36,21622
15.3,4504.12,21975
16.7,4596.95,21186
20.8,4491.48,21825
23.4,4647.39,22208
22.8,4578.39,22538
21.0,4522.79,21813
22.0,4634.25,21588
15.2,4703.03,22377
21.0,4473.09,21286
21.6,4566.88,21563
15.7,4431.84,21555
17.4,4511.85,21133
15.7,4475.88,22041
21.5,4431.37,21402
22.2,4475.05,21861
18.8,4494.90,21747
18.8,4563.31,22419
23.2,4529.98,21738
17.8,4574.20,21652
21.5,4669.47,21277
22.7,4521.60,20119
19.7,4558.38,22019
22.0,4535.18,20575
23.2,4579.24,21630
16.0,4478.85,22005
22.2,4545.89,22588
21.1,4443.96,22127
15.3,4561.51,22327
16.9,4577.93,21905
19.7,4431.52,21227
17.0,4475.22,22208
22.9,4593.59,21913
21.2,4542.64,21252
17.8,4465.28,21336
22.3,4603.34,21119
16.6,4512.52,21908
20.7,4641.55,21697
20.4,4535.30,21463
20.8,4579.42,22025
17.8,4686.81,21580
15.6,4495.29,21763
20.7,4541.43,22508
21.2,4617.89,22805
21.3,4547.85,21844
15.4,4358.92,21541
16.7,4459.24,21555
22.0,4605.04,22450
16.9,4656.36,22105
15.6,4587.83,21866
23.5,4725.11,22483
22.7,4405.95,21288
18.8,4552.55,20980
21.1,4461.99,21480
19.0,4490.98,21350
22.7,4680.29,21041
22.7,4447.56,22119
15.2,4547.67,22375
20.6,4658.96,21950
21.5,4528.77,23041
22.5,4523.64,20158
20.5,4597.15,22627
21.3,4491.13,21291
19.7,4516.20,21919
15.2,4587.93,21272
23.0,4635.91,21061
23.0,4454.92,21547
19.5,4450.81,21658
20.9,4523.29,20541
15.7,4520.94,21775
22.5,4663.58,22558
20.4,4481.13,21694
19.1,4555.13,22019
17.3,4560.05,21158
16.9,4590.31,21977
