RunTime,RealTime,RouteLength
15.9,4417.19,21597
21.5,4417.19,21597
20.9,4417.19,21597
21.9,4417.19,21597
22.6,4417.19,21597
21.4,4417.19,21597
15.9,4417.19,21597
19.4,4417.19,21597
22.9,4417.19,21597
22.3,4417.19,21597
14.8,4417.19,21597
15.0,4417.19,21597
22.0,4417.19,21597
16.0,4417.19,21597
15.6,4417.19,21597
20.5,4417.19,21597
21.7,4417.19,21597
16.1,4417.19,21597
19.3,4417.19,21597
19.1,4417.19,21597
16.3,4417.19,21597
20.7,4417.19,21597
22.8,4417.19,21597
20.2,4417.19,21597
15.7,4417.19,21597
22.0,4417.19,21597
16.0,4417.19,21597
18.3,4417.19,21597
19.9,4417.19,21597
18.5,4417.19,21597
14.7,4417.19,21597
21.6,4417.19,21597
21.6,4417.19,21597
16.1,4417.19,21597
22.0,4417.19,21597
16.1,4417.19,21597
21.0,4417.19,21597
20.5,4417.19,21597
22.2,4417.19,21597
21.2,4417.19,21597
21.5,4417.19,21597
16.6,4417.19,21597
15.4,4417.19,21597
19.2,4417.19,21597
14.5,4417.19,21597
18.9,4417.19,21597
21.2,4417.19,21597
16.9,4417.19,21597
22.7,4417.19,21597
20.8,4417.19,21597
22.2,4417.19,21597
15.2,4417.19,21597
15.0,4417.19,21597
22.4,4417.19,21597
22.0,4417.19,21597
22.3,4417.19,21597
15.6,4417.19,21597
18.4,4417.19,21597
17.5,4417.19,21597
20.9,4417.19,21597
18.9,4417.19,21597
19.5,4417.19,21597
19.8,4417.19,21597
19.8,4417.19,21597
14.8,4417.19,21597
22.4,4417.19,21597
20.0,4417.19,21597
22.0,4417.19,21597
22.0,4417.19,21597
17.1,4417.19,21597
17.6,4417.19,21597
18.8,4417.19,21597
20.4,4417.19,21597
18.4,4417.19,21597
18.8,4417.19,21597
21.7,4417.19,21597
21.3,4417.19,21597
19.6,4417.19,21597
14.6,4417.19,21597
19.7,4417.19,21597
19.9,4417.19,21597
22.8,4417.19,21597
21.6,4417.19,21597
19.0,4417.19,21597
20.1,4417.19,21597
19.9,4417.19,21597
19.5,4417.19,21597
20.7,4417.19,21597
16.4,4417.19,21597
21.0,4417.19,21597
15.2,4417.19,21597
18.6,4417.19,21597
15.2,4417.19,21597
15.7,4417.19,21597
19.2,4417.19,21597
22.8,4417.19,21597
21.7,4417.19,21597
14.9,4417.19,21597
20.0,4417.19,21597
20.1,4417.19,21597
15.7,4417.19,21597
20.1,4417.19,21597
19.1,4417.19,21597
22.1,4417.19,21597
22.0,4417.19,21597
19.6,4417.19,21597
15.9,4417.19,21597
16.6,4417.19,21597
19.7,4417.19,21597
21.7,4417.19,21597
19.5,4417.19,21597
16.4,4417.19,21597
17.9,4417.19,21597
22.3,4417.19,21597
15.5,4417.19,21597
18.9,4417.19,21597
20.0,4417.19,21597
16.7,4417.19,21597
19.5,4417.19,21597
19.5,4417.19,21597
19.7,4417.19,21597
22.7,4417.19,21597
22.1,4417.19,21597
19.3,4417.19,21597
22.6,4417.19,21597
20.1,4417.19,21597
21.6,4417.19,21597
17.8,4417.19,21597
21.7,4417.19,21597
15.1,4417.19,21597
20.4,4417.19,21597
18.2,4417.19,21597
15.0,4417.19,21597
20.9,4417.19,21597
17.1,4417.19,21597
17.7,4417.19,21597
22.6,4417.19,21597
17.6,4417.19,21597
18.8,4417.19,21597
18.6,4417.19,21597
16.7,4417.19,21597
16.9,4417.19,21597
20.4,4417.19,21597
20.0,4417.19,21597
21.7,4417.19,21597
19.8,4417.19,21597
19.9,4417.19,21597
20.1,4417.19,21597
20.0,4417.19,21597
16.0,4417.19,21597
22.3,4417.19,21597
21.6,4417.19,21597
22.7,4417.19,21597
22.2,4417.19,21597
22.9,4417.19,21597
17.3,4417.19,21597
17.4,4417.19,21597
18.2,4417.19,21597
21.1,4417.19,21597
20.8,4417.19,21597
22.5,4417.19,21597
20.5,4417.19,21597
22.0,4417.19,21597
20.4,4417.19,21597
15.3,4417.19,21597
15.9,4417.19,21597
20.7,4417.19,21597
21.4,4417.19,21597
17.3,4417.19,21597
18.0,4417.19,21597
18.8,4417.19,21597
18.7,4417.19,21597
20.7,4417.19,21597
20.8,4417.19,21597
17.4,4417.19,21597
15.1,4417.19,21597
18.6,4417.19,21597
21.0,4417.19,21597
20.7,4417.19,21597
17.4,4417.19,21597
18.1,4417.19,21597
14.9,4417.19,21597
19.3,4417.19,21597
21.9,4417.19,21597
20.3,4417.19,21597
20.3,4417.19,21597
15.6,4417.19,21597
16.5,4417.19,21597
20.0,4417.19,21597
21.1,4417.19,21597
22.6,4417.19,21597
19.8,4417.19,21597
22.6,4417.19,21597
22.0,4417.19,21597
21.5,4417.19,21597
23.1,4417.19,21597
20.2,4417.19,21597
