RunTime,RealTime,RouteLength
16.1,5171.32,23977
23.2,6297.21,21591
16.4,5879.04,22108
20.1,4791.93,22302
21.5,6996.26,23597
16.6,5755.86,24211
20.2,5898.20,22544
20.5,5734.32,23130
20.1,6516.95,22361
15.3,5219.32,22530
21.4,6019.00,21688
21.1,5696.87,22488
23.4,6356.96,21338
22.0,6355.29,23238
21.7,7097.39,22111
19.6,6291.98,22277
16.0,5893.97,22913
22.1,5851.98,23036
23.0,6272.68,22486
19.6,5687.29,21855
17.6,6516.95,22558
21.7,5298.80,21897
21.2,7097.39,22450
20.9,6628.36,20972
21.3,5288.43,23027
21.6,5176.28,22369
14.9,5882.89,23455
15.7,5121.77,21802
23.3,7309.87,22388
23.4,5683.54,22244
15.2,6066.63,22175
16.3,5557.29,22241
21.9,5178.06,22330
21.4,5170.36,22122
21.6,5205.15,23888
17.1,5648.91,22633
18.1,6440.71,22947
22.9,5806.39,22511
19.3,6360.66,22686
19.7,5657.19,22566
18.2,5103.70,22730
22.5,5591.87,22505
21.8,5565.79,22725
20.7,6386.57,21919
17.1,6389.75,23594
22.7,5472.98,20783
22.6,5220.43,22822
19.7,6516.95,23413
20.4,6770.11,23144
14.9,6624.46,22752
20.5,7448.61,22286
17.4,6186.60,23052
22.4,5966.63,22833
20.8,5241.81,21766
15.4,5268.22,22291
14.8,4933.56,22258
22.1,5904.31,22302
14.8,5368.01,23166
21.0,4929.33,22538
19.3,5069.30,21736
17.7,4898.64,22794
22.0,6372.45,23297
22.6,5696.87,22825
19.1,6194.74,21677
21.5,5218.27,21338
17.3,5980.27,22341
19.1,5680.88,22419
19.5,4943.77,23433
19.1,5966.48,22177
16.9,6559.67,22166
17.7,6370.86,22747
21.9,4802.06,23097
18.3,5919.89,22922
19.5,5693.91,23147
20.9,4783.26,20875
15.0,4967.99,21863
23.5,6971.56,22072
23.6,5794.41,22327
21.1,5183.94,21975
16.4,5089.04,21277
23.2,5006.42,22666
16.7,4986.10,21705
15.3,6770.70,23261
16.9,5094.07,21063
20.2,7477.10,22755
21.4,5250.61,22963
15.8,5633.25,21861
16.8,6516.95,22958
22.0,6019.59,22394
17.6,6355.29,22100
16.9,4871.58,21883
16.7,6311.57,23027
22.2,5937.02,22216
20.3,5824.48,22769
21.2,5307.39,22777
22.9,5310.21,21950
22.2,5445.90,22752
21.6,5123.09,22644
23.3,6029.34,22933
20.5,6265.91,21808
19.9,5174.38,22219
16.3,5079.31,22130
22.6,6013.32,21786
16.2,5910.00,23319
22.9,4800.94,23222
22.0,4946.85,21505
17.1,6879.55,23163
22.5,6358.36,22541
23.2,5958.85,22583
21.3,6356.96,21761
22.8,7041.39,23077
16.7,7449.89,21369
15.1,6922.73,22352
19.8,5409.03,23125
21.4,5617.52,23155
20.2,5280.22,22447
18.5,6516.95,22880
22.6,6757.79,23186
23.4,4982.24,23030
20.5,5467.18,21700
18.3,5247.08,22138
20.1,6252.25,23388
18.7,6560.24,22013
