RunTime,RealTime,RouteLength
0.17,1083.06,5238.
0.18,1044.40,4913.
0.17,1088.73,4891.
0.18,1062.71,5191.
0.16,1087.63,4333.
0.18,1126.10,4900.
0.17,1031.18,4647.
0.18,1083.28,5269.
0.17,1159.94,4530.
0.17,1071.26,4961.
0.18,1074.66,4263.
0.17,1047.80,5105.
0.17,1044.97,4547.
0.17,1031.18,4647.
0.17,1044.97,4547.
0.18,1045.31,4819.
0.17,1044.97,4547.
0.17,1066.00,5019.
0.17,1118.12,4730.
0.18,1121.83,5244.
0.18,1047.80,5105.
0.16,1080.86,4872.
0.17,1060.56,4905.
0.16,1059.77,4944.
0.17,1059.59,4913.
0.17,1070.90,4625.
0.17,1045.31,4819.
0.17,1079.02,4297.
0.17,1055.74,4691.
0.19,1100.69,4919.
0.17,1045.31,4819.
0.16,1064.22,4519.
0.18,1044.97,4547.
0.18,1032.37,4672.
0.17,1044.40,4913.
0.17,1100.69,4919.
0.17,1044.97,4547.
0.17,1031.18,4647.
0.18,1067.68,5286.
0.17,1047.80,5105.
0.17,1090.32,4677.
0.17,1076.37,4838.
0.19,1044.40,4913.
0.17,1049.59,4450.
0.17,1060.56,4905.
0.17,1047.80,5105.
0.17,1059.77,4944.
0.17,1059.77,4944.
0.17,1075.08,4833.
0.17,1070.90,4625.
0.17,1070.13,4805.
0.16,1044.97,4547.
0.17,1047.80,5105.
0.18,1088.73,4891.
0.17,1087.76,4605.
0.17,1064.22,4519.
0.16,1054.60,4483.
0.16,1059.70,4486.
0.17,1044.97,4547.
0.16,1037.27,4705.
0.17,1074.66,4263.
0.17,1031.18,4647.
0.16,1074.66,4263.
0.17,1041.04,4880.
0.17,1071.11,4897.
0.17,1066.00,5019.
0.17,1064.22,4519.
0.17,1066.00,5019.
0.16,1064.22,4519.
0.17,1072.70,5183.
0.17,1101.00,4888.
0.17,1044.97,4547.
0.18,1081.60,4980.
0.17,1060.27,4633.
0.18,1045.31,4819.
0.17,1060.56,4905.
0.18,1071.68,4861.
0.17,1060.27,4633.
0.17,1045.86,4425.
0.18,1032.37,4672.
0.17,1064.22,4519.
0.17,1037.27,4705.
0.17,1088.20,4625.
0.16,1062.86,4461.
0.17,1081.03,4863.
0.18,1118.49,5155.
0.19,1059.59,4913.
0.17,1082.69,4627.
0.17,1070.90,4625.
0.16,1071.68,4861.
0.18,1059.77,4944.
0.17,1047.80,5105.
0.18,1062.71,5191.
0.17,1119.36,4811.
