RunTime,RealTime,RouteLength
0.18,1125.81,5161.
0.18,1045.31,4819.
0.19,1071.68,4861.
0.18,1057.70,4605.
0.17,1099.16,4911.
0.18,1080.71,4605.
0.18,1032.37,4672.
0.19,1151.09,4847.
0.18,1206.43,5141.
0.17,1044.97,4547.
0.18,1087.76,4605.
0.17,1059.77,4944.
0.17,1045.31,4819.
0.17,1059.70,4486.
0.18,1044.97,4547.
0.18,1133.10,5116.
0.17,1087.76,4605.
0.19,1122.80,4805.
0.18,1120.72,4972.
0.17,1122.06,5213.
0.19,1097.13,4925.
0.17,1126.81,5169.
0.18,1054.60,4483.
0.16,1064.22,4519.
0.19,1041.80,4391.
0.18,1059.59,4913.
0.17,1059.59,4913.
0.18,1145.83,4836.
0.17,1070.90,4625.
0.34,1209.18,5313.
0.18,1141.30,5511.
0.17,1112.53,4694.
0.17,1032.37,4672.
0.18,1079.71,4969.
0.17,1075.08,4833.
0.19,1128.37,4738.
0.17,1120.06,4927.
0.17,1064.22,4519.
0.18,1135.15,4933.
0.18,1096.44,4575.
0.17,1062.86,4461.
0.18,1095.84,4466.
0.18,1060.56,4905.
0.18,1045.31,4819.
0.19,1117.28,5211.
0.17,1047.80,5105.
0.18,1060.27,4633.
0.18,1103.64,5013.
0.17,1062.86,4461.
0.17,1095.78,4952.
0.17,1076.29,5077.
0.17,1115.65,5072.
0.18,1081.13,5144.
0.18,1112.07,5161.
0.16,1064.22,4519.
0.17,1087.63,4333.
0.18,1102.20,4797.
0.17,1124.25,5752.
0.17,1072.97,4519.
0.19,1076.10,4566.
0.19,1191.35,5275.
0.17,1117.29,4997.
0.17,1077.00,4875.
0.17,1098.67,4500.
0.19,1037.27,4705.
0.18,1083.06,5238.
0.18,1126.35,4763.
0.18,1097.13,4925.
0.17,1079.62,4738.
0.17,1104.44,4841.
0.17,1063.70,4883.
0.16,1089.25,4702.
0.17,1059.77,4944.
0.17,1072.97,4519.
0.18,1067.40,4830.
0.19,1110.83,4988.
0.17,1072.70,5183.
0.19,1185.30,5405.
0.18,1037.27,4705.
0.18,1082.69,4627.
0.16,1073.61,4855.
0.17,1090.17,5058.
0.18,1103.98,5286.
0.19,1164.18,5322.
0.18,1093.42,4947.
0.18,1113.56,4547.
0.18,1131.83,4780.
0.16,1064.22,4519.
0.17,1088.11,4772.
0.17,1073.61,4855.
0.17,1044.40,4913.
0.18,1059.59,4913.
0.16,1047.80,5105.
0.18,1120.26,4813.
0.17,1117.29,4997.
0.17,1073.55,4994.
0.18,1083.06,5238.
0.18,1112.97,4950.
0.19,1102.35,5377.
0.18,1173.93,5702.
0.17,1090.34,5183.
0.16,1031.18,4647.
0.18,1149.52,5172.
0.17,1107.17,4822.
0.17,1031.18,4647.
0.21,1208.43,5452.
0.17,1118.12,4730.
0.19,1135.15,4933.
0.18,1246.20,4919.
0.17,1059.59,4913.
0.17,1088.73,4891.
0.17,1091.80,5138.
0.17,1059.77,4944.
0.18,1158.39,4955.
0.17,1031.18,4647.
0.17,1062.71,5191.
0.18,1114.29,5144.
0.18,1138.82,5436.
0.18,1103.64,5013.
0.2,1257.88,5294.
0.17,1060.45,4638.
0.17,1079.79,4725.
0.18,1044.97,4547.
0.18,1083.86,4638.
0.18,1083.06,5238.
0.19,1162.94,5330.
0.17,1041.04,4880.
0.17,1093.42,4947.
0.18,1102.04,5311.
0.17,1076.10,4566.
0.18,1123.53,4683.
0.17,1058.11,4950.
0.21,1079.68,4630.
0.16,1088.73,4891.
0.17,1080.97,4894.
0.17,1122.06,5213.
0.17,1058.11,4950.
0.18,1081.13,5144.
0.18,1062.71,5191.
0.17,1067.40,4830.
0.18,1077.46,4861.
0.17,1068.79,4827.
0.18,1066.02,4727.
0.18,1080.86,4872.
0.16,1090.67,5113.
0.18,1058.11,4950.
0.18,1044.97,4547.
0.18,1157.23,5252.
0.18,1143.63,5444.
0.19,1120.77,5350.
0.17,1104.44,4841.
0.17,1084.23,5400.
0.18,1120.06,4927.
