RunTime,RealTime,RouteLength
0.17,1090.32,4677.
0.18,1044.40,4913.
0.18,1098.67,4500.
0.19,1178.48,4963.
0.18,1122.75,5194.
0.18,1119.47,4813.
0.17,1103.64,5013.
0.18,1136.77,4866.
0.19,1181.00,5255.
0.16,1087.69,4511.
0.17,1104.15,4672.
0.17,1041.04,4880.
0.16,1098.67,4500.
0.16,1088.73,4891.
0.17,1044.97,4547.
0.18,1098.05,5350.
0.17,1066.02,4727.
0.19,1112.07,5161.
0.17,1142.48,4913.
0.2,1159.17,5322.
0.19,1194.12,5311.
0.16,1071.11,4897.
0.17,1122.06,5213.
0.17,1060.27,4633.
0.17,1100.77,4819.
0.17,1070.90,4625.
0.17,1113.15,4880.
0.18,1181.19,5122.
0.17,1118.49,5155.
0.17,1081.61,5263.
0.18,1116.25,4755.
0.18,1170.55,5444.
0.18,1093.24,4675.
0.17,1027.29,4613.
0.19,1180.47,5427.
0.17,1062.71,5191.
0.17,1130.76,4816.
0.16,1064.22,4519.
0.19,1106.46,4608.
0.17,1207.97,5247.
0.18,1093.24,4675.
0.17,1435.64,5047.
0.18,1068.51,5097.
0.17,1080.93,4683.
0.16,1101.74,4830.
0.18,1088.73,4891.
0.17,1081.15,5275.
0.16,1059.59,4913.
0.18,1153.49,5366.
0.17,1066.02,4727.
0.17,1108.49,4752.
0.16,1087.63,4333.
0.18,1120.00,5316.
0.17,1195.92,4769.
0.17,1202.32,4316.
0.17,1081.15,5275.
0.18,1105.47,5305.
0.16,1151.04,5144.
0.17,1231.75,4786.
0.2,1103.64,5013.
0.18,1110.38,5347.
0.18,1031.18,4647.
0.18,1088.83,5130.
0.17,1057.70,4605.
0.18,1139.89,5111.
0.17,1096.09,4813.
0.19,1099.19,5616.
0.18,1161.43,5088.
0.19,1138.79,5136.
0.16,1067.68,5286.
0.18,1108.40,4941.
0.17,1138.79,5136.
0.18,1143.58,5025.
0.18,1145.26,4800.
0.18,1214.51,4758.
0.17,1106.76,4813.
0.18,1071.68,4861.
0.17,1164.80,5405.
0.17,1070.90,4625.
0.17,1059.70,4486.
0.17,1060.45,4638.
0.18,1147.50,5366.
0.17,1088.20,4625.
0.16,1073.35,4791.
0.17,1066.31,4772.
0.17,1111.22,5002.
0.18,1059.59,4913.
0.18,1127.41,4922.
0.19,1147.41,5433.
0.16,1027.29,4613.
0.16,1067.54,4383.
0.17,1086.90,5119.
0.18,1108.51,5036.
0.17,1104.44,4841.
0.19,1186.89,5813.
0.16,1102.92,5188.
0.18,1096.29,5172.
0.17,1060.45,4638.
0.18,1144.93,4922.
0.17,1062.71,5191.
0.16,1074.66,4263.
0.18,1440.13,4872.
0.18,1121.21,4986.
0.17,1409.55,5163.
0.18,1150.96,5375.
0.18,1118.69,4838.
0.19,1301.62,4830.
0.18,1153.44,4766.
0.18,1079.68,4630.
0.16,1119.93,5658.
0.18,1063.70,4883.
0.18,1182.03,5375.
0.18,1122.91,5169.
0.17,1153.49,5366.
0.17,1093.19,5002.
0.17,1107.17,4822.
0.17,1130.88,5511.
0.18,1063.22,4733.
0.18,1102.14,4741.
0.18,1027.29,4613.
0.18,1068.79,4827.
0.18,1268.31,4822.
0.18,1145.26,4800.
0.18,1072.70,5183.
0.18,1172.72,4841.
0.17,1058.11,4950.
0.18,1088.98,5227.
0.17,1093.11,4886.
0.18,1102.43,5444.
0.18,1103.98,5286.
0.17,1045.31,4819.
0.18,1124.85,5191.
0.18,1063.47,4797.
0.17,1422.34,5002.
0.16,1129.88,5322.
0.17,1059.77,4944.
0.17,1064.22,4519.
0.16,1064.22,4519.
0.18,1059.59,4913.
0.17,1100.32,4766.
0.18,1072.70,5183.
0.17,1080.71,4605.
0.18,1154.03,5200.
0.18,1073.35,4791.
0.18,1059.59,4913.
0.18,1088.83,5130.
0.17,1119.19,5250.
0.17,1163.74,5708.
0.19,1151.36,4677.
0.17,1117.88,5391.
0.17,1181.19,5122.
0.17,1126.35,4763.
0.18,1175.69,5022.
0.18,1102.06,4438.
0.17,1151.42,5027.
0.17,1041.04,4880.
0.18,1117.20,4961.
0.17,1078.77,4594.
0.17,1044.40,4913.
0.18,1084.44,5302.
0.16,1047.80,5105.
0.17,1150.84,5322.
0.19,1125.48,4986.
0.17,1100.32,4766.
0.16,1071.68,4861.
0.18,1108.82,5125.
0.17,1155.57,4516.
0.16,1052.56,4658.
0.16,1088.06,4830.
0.17,1080.97,4894.
0.17,1066.22,5000.
0.18,1159.16,5172.
0.17,1070.90,4625.
0.17,1044.97,4547.
0.18,1209.12,5377.
0.18,1422.17,4825.
0.17,1201.11,5008.
0.16,1057.70,4605.
0.18,1162.33,5338.
0.17,1118.56,4747.
0.17,1082.69,4627.
0.17,1063.01,4638.
0.17,1425.29,5236.
0.17,1127.62,5266.
0.18,1037.27,4705.
0.19,1059.77,4944.
0.17,1156.70,5458.
0.18,1143.58,5025.
0.17,1112.67,5230.
0.17,1520.04,5511.
0.18,1066.35,5063.
0.17,1044.97,4547.
0.17,1060.27,4633.
0.17,1044.97,4547.
0.17,1041.04,4880.
0.17,1112.08,4966.
0.18,1147.21,4652.
0.17,1079.60,4452.
0.17,1093.24,4675.
0.17,1151.04,5144.
0.18,1063.70,4883.
0.16,1080.86,4872.
0.18,1115.65,5072.
0.17,1136.76,5302.
0.18,1134.28,5325.
0.18,1129.68,4883.
0.18,1095.78,4952.
0.18,1057.70,4605.
0.18,1075.08,4833.
0.18,1171.88,5325.
0.18,1108.62,5094.
0.18,1103.98,5286.
0.18,1190.48,5511.
0.18,1062.86,4461.
0.18,1155.17,5266.
0.17,1084.44,5302.
0.16,1041.04,4880.
0.17,1095.35,4844.
0.2,1222.04,5277.
0.18,1170.01,5822.
0.17,1088.73,4891.
0.16,1100.95,4780.
0.18,1083.28,5269.
0.17,1215.58,5044.
0.17,1100.32,4766.
0.18,1107.89,5361.
0.16,1088.73,4891.
0.17,1082.69,4627.
0.18,1139.93,5627.
0.18,1064.22,4519.
0.17,1063.01,4638.
0.16,1120.01,5163.
0.17,1059.59,4913.
0.18,1107.89,5361.
0.17,1073.55,4994.
0.18,1143.68,5530.
0.18,1120.37,5200.
0.18,1102.04,5311.
0.19,1073.35,4791.
0.17,1088.11,4772.
0.19,1177.19,5025.
0.17,1106.44,5572.
0.17,1081.13,5144.
0.19,1151.94,5058.
0.16,1148.26,4866.
0.16,1113.70,4819.
0.17,1175.26,5194.
0.18,1099.90,5186.
0.17,1113.66,5183.
0.17,1112.91,4488.
0.17,1106.96,4933.
0.18,1077.46,4861.
0.17,1083.03,5430.
0.17,1067.68,5286.
0.18,1144.85,5275.
0.17,1041.04,4880.
0.19,1112.80,4652.
0.17,1081.13,5144.
0.17,1157.66,5000.
