RunTime,RealTime,RouteLength
0.21,1059.59,4913.
0.18,1027.29,4613.
0.18,1059.77,4944.
0.17,1059.77,4944.
0.17,1044.97,4547.
0.17,1037.27,4705.
0.17,1045.31,4819.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.17,1032.37,4672.
0.18,1032.37,4672.
0.17,1037.27,4705.
0.17,1044.97,4547.
0.17,1041.04,4880.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.18,1059.59,4913.
0.18,1044.97,4547.
0.19,1032.37,4672.
0.17,1032.37,4672.
0.17,1044.97,4547.
0.18,1037.27,4705.
0.17,1037.27,4705.
0.17,1037.27,4705.
0.17,1037.27,4705.
0.17,1037.27,4705.
0.17,1045.31,4819.
0.17,1059.59,4913.
0.2,1059.59,4913.
0.17,1045.31,4819.
0.18,1027.29,4613.
0.17,1044.97,4547.
0.17,1037.27,4705.
0.18,1059.59,4913.
0.18,1059.70,4486.
0.18,1044.97,4547.
0.18,1045.31,4819.
0.17,1041.04,4880.
0.17,1064.22,4519.
0.18,1037.27,4705.
0.18,1027.29,4613.
0.18,1059.77,4944.
0.18,1059.59,4913.
0.18,1059.77,4944.
0.18,1059.59,4913.
0.17,1027.29,4613.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.17,1032.37,4672.
0.19,1037.27,4705.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.17,1059.77,4944.
0.18,1059.59,4913.
0.17,1059.70,4486.
0.17,1032.37,4672.
0.17,1032.37,4672.
0.17,1059.70,4486.
0.18,1059.77,4944.
0.17,1044.40,4913.
0.18,1044.97,4547.
0.18,1044.97,4547.
0.17,1041.04,4880.
0.17,1031.18,4647.
0.18,1044.40,4913.
0.18,1059.59,4913.
0.18,1037.27,4705.
0.18,1045.31,4819.
0.18,1045.31,4819.
0.17,1044.97,4547.
0.18,1059.59,4913.
0.17,1059.59,4913.
0.18,1059.59,4913.
0.18,1059.59,4913.
0.17,1027.29,4613.
0.17,1059.77,4944.
0.17,1027.29,4613.
0.18,1059.59,4913.
0.18,1031.18,4647.
0.17,1032.37,4672.
0.19,1027.29,4613.
0.18,1044.97,4547.
0.17,1037.27,4705.
0.17,1032.37,4672.
0.18,1044.97,4547.
0.18,1058.11,4950.
0.17,1031.18,4647.
0.17,1032.37,4672.
0.17,1064.22,4519.
0.17,1032.37,4672.
0.18,1059.77,4944.
0.18,1059.59,4913.
0.17,1044.97,4547.
0.17,1037.27,4705.
0.18,1041.04,4880.
0.17,1044.97,4547.
0.19,1032.37,4672.
0.17,1047.80,5105.
0.18,1037.27,4705.
0.17,1037.27,4705.
0.18,1027.29,4613.
0.17,1059.59,4913.
0.18,1059.59,4913.
0.17,1045.31,4819.
0.17,1032.37,4672.
0.18,1032.37,4672.
0.17,1044.97,4547.
0.17,1031.18,4647.
0.18,1059.77,4944.
0.18,1059.77,4944.
0.18,1068.79,4827.
0.17,1027.29,4613.
0.18,1044.97,4547.
0.17,1037.27,4705.
0.18,1044.97,4547.
0.17,1032.37,4672.
0.17,1037.27,4705.
0.18,1059.77,4944.
0.17,1045.31,4819.
0.17,1044.97,4547.
0.17,1045.31,4819.
0.17,1044.97,4547.
0.17,1070.31,5072.
0.17,1031.18,4647.
0.17,1027.29,4613.
0.18,1044.97,4547.
0.19,1059.59,4913.
0.18,1044.97,4547.
0.17,1031.18,4647.
0.17,1044.40,4913.
0.17,1031.18,4647.
0.18,1037.27,4705.
0.17,1044.97,4547.
0.18,1059.77,4944.
0.17,1037.27,4705.
0.17,1059.77,4944.
0.17,1064.22,4519.
0.17,1037.27,4705.
0.18,1059.77,4944.
0.18,1044.97,4547.
0.18,1032.37,4672.
0.18,1059.77,4944.
0.17,1032.37,4672.
0.17,1037.27,4705.
0.18,1059.77,4944.
0.17,1032.37,4672.
0.17,1059.70,4486.
0.17,1059.70,4486.
0.17,1064.22,4519.
0.17,1027.29,4613.
0.18,1032.37,4672.
0.17,1047.80,5105.
0.19,1059.59,4913.
0.17,1037.27,4705.
0.18,1044.40,4913.
0.17,1059.59,4913.
0.17,1032.37,4672.
0.18,1044.97,4547.
0.18,1041.04,4880.
0.17,1027.29,4613.
0.17,1059.70,4486.
0.18,1037.27,4705.
0.17,1037.27,4705.
0.17,1041.04,4880.
0.17,1027.29,4613.
0.17,1045.31,4819.
0.16,1027.29,4613.
0.17,1027.29,4613.
0.17,1047.80,5105.
0.17,1044.97,4547.
0.17,1045.31,4819.
0.18,1044.97,4547.
0.17,1044.97,4547.
0.18,1037.27,4705.
0.18,1045.31,4819.
0.17,1047.80,5105.
0.18,1044.97,4547.
0.17,1037.27,4705.
0.18,1059.59,4913.
0.17,1059.77,4944.
0.17,1041.04,4880.
0.19,1044.97,4547.
0.17,1044.40,4913.
0.17,1045.31,4819.
0.17,1058.11,4950.
0.17,1064.22,4519.
0.17,1068.79,4827.
0.18,1059.59,4913.
0.18,1027.29,4613.
0.18,1045.31,4819.
0.18,1044.97,4547.
0.17,1037.27,4705.
0.18,1058.11,4950.
0.17,1031.18,4647.
0.17,1059.59,4913.
0.18,1044.97,4547.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.17,1059.59,4913.
0.17,1032.37,4672.
0.18,1045.31,4819.
0.18,1044.97,4547.
0.18,1059.59,4913.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.18,1044.97,4547.
0.17,1027.29,4613.
0.18,1044.97,4547.
0.17,1044.97,4547.
0.17,1059.59,4913.
0.17,1059.70,4486.
0.17,1074.66,4263.
0.17,1045.31,4819.
0.17,1064.22,4519.
0.18,1081.03,4863.
0.18,1044.40,4913.
0.17,1032.37,4672.
0.17,1059.70,4486.
0.17,1044.97,4547.
0.18,1032.37,4672.
0.18,1045.31,4819.
0.17,1044.97,4547.
0.17,1044.40,4913.
0.18,1044.97,4547.
0.17,1054.60,4483.
0.17,1059.59,4913.
0.17,1044.97,4547.
0.17,1031.18,4647.
0.18,1044.97,4547.
0.18,1045.31,4819.
0.17,1041.04,4880.
0.18,1031.18,4647.
0.17,1031.18,4647.
0.18,1059.59,4913.
0.18,1032.37,4672.
0.17,1037.27,4705.
0.17,1032.37,4672.
0.18,1059.59,4913.
0.18,1037.27,4705.
0.17,1044.97,4547.
0.17,1045.31,4819.
0.17,1059.59,4913.
0.17,1037.27,4705.
0.18,1059.59,4913.
0.17,1059.70,4486.
0.18,1037.27,4705.
0.18,1044.97,4547.
0.17,1045.31,4819.
0.17,1044.40,4913.
0.17,1032.37,4672.
0.17,1044.97,4547.
0.17,1044.40,4913.
0.17,1037.27,4705.
0.18,1047.80,5105.
0.17,1027.29,4613.
0.16,1045.31,4819.
0.17,1047.80,5105.
0.18,1047.80,5105.
0.17,1047.80,5105.
0.17,1037.27,4705.
0.18,1059.59,4913.
0.18,1045.31,4819.
0.17,1027.29,4613.
0.17,1047.80,5105.
0.18,1059.59,4913.
0.17,1027.29,4613.
0.18,1062.86,4461.
0.17,1059.77,4944.
0.17,1037.27,4705.
0.17,1031.18,4647.
0.18,1032.37,4672.
0.17,1027.29,4613.
0.18,1059.59,4913.
0.18,1047.80,5105.
0.17,1047.80,5105.
0.17,1032.37,4672.
0.17,1044.97,4547.
0.17,1047.80,5105.
0.17,1044.97,4547.
0.2,1032.37,4672.
0.17,1064.22,4519.
0.18,1044.97,4547.
0.17,1059.59,4913.
0.19,1045.31,4819.
0.18,1037.27,4705.
0.17,1059.59,4913.
0.18,1044.40,4913.
0.18,1027.29,4613.
0.18,1032.37,4672.
0.18,1059.77,4944.
0.17,1044.97,4547.
0.17,1027.29,4613.
0.18,1047.80,5105.
0.17,1045.31,4819.
0.17,1044.97,4547.
0.17,1059.59,4913.
0.17,1037.27,4705.
0.17,1059.77,4944.
0.17,1044.40,4913.
0.17,1031.18,4647.
0.19,1059.77,4944.
0.18,1045.31,4819.
0.18,1044.40,4913.
0.17,1045.31,4819.
0.17,1044.97,4547.
0.17,1031.18,4647.
0.18,1070.13,4805.
0.2,1047.80,5105.
0.18,1031.18,4647.
0.18,1059.77,4944.
0.17,1037.27,4705.
0.17,1047.80,5105.
0.18,1059.59,4913.
0.18,1044.97,4547.
0.17,1032.37,4672.
0.18,1044.97,4547.
0.17,1064.22,4519.
0.21,1044.40,4913.
0.18,1037.27,4705.
0.19,1059.59,4913.
0.18,1059.59,4913.
0.18,1032.37,4672.
0.17,1027.29,4613.
0.18,1032.37,4672.
0.18,1041.04,4880.
0.18,1037.27,4705.
0.18,1031.18,4647.
0.17,1032.37,4672.
0.18,1037.27,4705.
0.18,1037.27,4705.
0.17,1027.29,4613.
0.17,1044.97,4547.
0.17,1032.37,4672.
0.18,1064.22,4519.
0.18,1037.27,4705.
0.17,1031.18,4647.
0.18,1044.97,4547.
0.18,1032.37,4672.
0.17,1031.18,4647.
0.18,1044.97,4547.
0.18,1044.97,4547.
0.18,1059.59,4913.
0.18,1032.37,4672.
0.17,1044.97,4547.
0.18,1059.77,4944.
0.17,1044.97,4547.
0.18,1032.37,4672.
0.17,1045.31,4819.
0.19,1044.40,4913.
0.17,1037.27,4705.
0.17,1044.97,4547.
0.18,1059.59,4913.
0.17,1032.37,4672.
0.18,1059.59,4913.
0.16,1059.70,4486.
0.18,1037.27,4705.
0.16,1059.70,4486.
0.17,1064.22,4519.
0.17,1037.27,4705.
0.18,1059.59,4913.
0.18,1059.59,4913.
0.18,1032.37,4672.
0.17,1037.27,4705.
0.17,1031.18,4647.
0.17,1045.31,4819.
0.17,1047.80,5105.
0.17,1037.27,4705.
0.17,1045.31,4819.
0.18,1037.27,4705.
0.17,1058.11,4950.
0.16,1059.70,4486.
0.18,1031.18,4647.
0.17,1044.97,4547.
0.18,1059.77,4944.
0.18,1059.77,4944.
0.17,1031.18,4647.
0.17,1059.77,4944.
0.18,1037.27,4705.
0.17,1044.40,4913.
0.17,1031.18,4647.
0.17,1044.97,4547.
0.18,1032.37,4672.
0.17,1045.31,4819.
0.17,1059.70,4486.
0.17,1032.37,4672.
0.17,1041.04,4880.
0.17,1044.97,4547.
0.19,1027.29,4613.
0.18,1059.77,4944.
0.18,1044.40,4913.
0.18,1027.29,4613.
0.18,1044.97,4547.
0.17,1045.31,4819.
0.19,1031.18,4647.
0.17,1059.77,4944.
0.17,1044.97,4547.
0.18,1045.31,4819.
0.19,1037.27,4705.
0.18,1045.31,4819.
0.17,1032.37,4672.
0.17,1059.70,4486.
0.18,1044.97,4547.
0.18,1037.27,4705.
0.18,1059.70,4486.
0.17,1032.37,4672.
0.17,1027.29,4613.
0.18,1059.59,4913.
0.16,1059.70,4486.
0.17,1027.29,4613.
0.19,1044.97,4547.
0.18,1045.31,4819.
0.19,1032.37,4672.
0.31,1037.27,4705.
0.19,1041.04,4880.
0.18,1032.37,4672.
0.2,1032.37,4672.
0.19,1047.80,5105.
0.19,1045.31,4819.
0.32,1044.97,4547.
0.19,1037.27,4705.
0.19,1044.97,4547.
0.19,1027.29,4613.
0.19,1044.97,4547.
0.2,1058.11,4950.
0.2,1045.31,4819.
0.19,1032.37,4672.
0.2,1058.11,4950.
0.19,1045.31,4819.
0.19,1041.04,4880.
0.19,1032.37,4672.
0.18,1032.37,4672.
0.19,1037.27,4705.
0.19,1045.31,4819.
0.19,1044.97,4547.
0.2,1045.31,4819.
0.19,1041.04,4880.
0.19,1044.97,4547.
0.3,1044.97,4547.
0.19,1044.97,4547.
0.19,1044.97,4547.
0.18,1044.40,4913.
0.18,1059.70,4486.
0.2,1032.37,4672.
0.19,1047.80,5105.
0.19,1059.59,4913.
0.18,1031.18,4647.
0.19,1059.77,4944.
0.31,1031.18,4647.
0.19,1044.97,4547.
0.19,1044.40,4913.
0.19,1032.37,4672.
0.19,1041.04,4880.
0.19,1059.59,4913.
0.19,1045.31,4819.
0.31,1059.59,4913.
0.19,1045.31,4819.
0.3,1032.37,4672.
0.18,1059.70,4486.
0.19,1041.04,4880.
0.19,1041.04,4880.
0.19,1045.31,4819.
0.19,1064.22,4519.
0.19,1032.37,4672.
0.2,1047.80,5105.
0.2,1044.97,4547.
0.19,1059.77,4944.
0.34,1044.97,4547.
0.19,1044.97,4547.
0.18,1045.31,4819.
0.28,1044.97,4547.
0.18,1044.97,4547.
0.31,1064.22,4519.
0.19,1059.77,4944.
0.19,1045.31,4819.
0.21,1059.59,4913.
0.19,1064.22,4519.
0.19,1044.97,4547.
0.19,1032.37,4672.
0.18,1027.29,4613.
0.2,1059.59,4913.
0.18,1044.97,4547.
0.19,1044.97,4547.
0.19,1044.97,4547.
0.19,1032.37,4672.
0.19,1037.27,4705.
0.2,1032.37,4672.
0.18,1044.97,4547.
0.19,1031.18,4647.
0.19,1032.37,4672.
0.19,1064.22,4519.
0.17,1044.97,4547.
0.17,1032.37,4672.
0.17,1044.97,4547.
0.18,1044.97,4547.
0.18,1063.22,4733.
0.18,1059.59,4913.
0.17,1044.97,4547.
0.17,1045.31,4819.
0.17,1032.37,4672.
0.17,1037.27,4705.
0.18,1032.37,4672.
0.18,1059.77,4944.
0.17,1037.27,4705.
0.19,1059.77,4944.
0.17,1044.97,4547.
0.17,1032.37,4672.
0.18,1059.70,4486.
0.18,1059.59,4913.
0.17,1031.18,4647.
0.18,1044.97,4547.
0.18,1031.18,4647.
0.17,1032.37,4672.
0.18,1059.59,4913.
0.18,1027.29,4613.
0.17,1027.29,4613.
0.17,1031.18,4647.
0.17,1037.27,4705.
0.18,1032.37,4672.
0.18,1031.18,4647.
0.18,1032.37,4672.
0.17,1059.59,4913.
0.17,1047.80,5105.
0.17,1031.18,4647.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.17,1041.04,4880.
0.17,1037.27,4705.
0.17,1037.27,4705.
0.19,1037.27,4705.
0.17,1044.97,4547.
0.17,1045.31,4819.
0.18,1027.29,4613.
0.18,1059.59,4913.
0.18,1059.59,4913.
0.18,1059.59,4913.
0.18,1044.97,4547.
0.18,1059.59,4913.
0.17,1044.97,4547.
0.18,1045.31,4819.
0.17,1044.97,4547.
0.17,1041.04,4880.
0.17,1032.37,4672.
0.18,1032.37,4672.
0.18,1044.97,4547.
0.18,1059.59,4913.
0.17,1044.97,4547.
0.17,1027.29,4613.
0.17,1044.97,4547.
0.18,1044.97,4547.
0.17,1037.27,4705.
0.18,1059.70,4486.
0.17,1045.31,4819.
0.17,1031.18,4647.
0.17,1047.80,5105.
0.17,1044.97,4547.
0.17,1032.37,4672.
0.17,1037.27,4705.
0.17,1044.97,4547.
0.17,1045.31,4819.
