RunTime,RealTime,RouteLength
0.17,1044.97,4547.
0.18,1058.11,4950.
0.19,1071.68,4861.
0.17,1037.27,4705.
0.17,1047.80,5105.
0.17,1049.59,4450.
0.18,1041.04,4880.
0.19,1080.97,4894.
0.17,1044.97,4547.
0.18,1059.77,4944.
0.17,1062.86,4461.
0.17,1062.86,4461.
0.17,1027.29,4613.
0.18,1072.97,4519.
0.18,1073.35,4791.
0.17,1060.27,4633.
0.16,1087.76,4605.
0.17,1031.18,4647.
0.17,1083.28,5269.
0.17,1071.11,4897.
0.18,1044.97,4547.
0.18,1060.27,4633.
0.18,1100.69,4919.
0.16,1064.22,4519.
0.18,1095.42,4405.
0.18,1105.47,5305.
0.17,1060.27,4633.
0.19,1047.80,5105.
0.18,1060.27,4633.
0.18,1084.23,5400.
0.17,1087.76,4605.
0.18,1044.97,4547.
0.17,1041.04,4880.
0.18,1100.72,4669.
0.18,1070.90,4625.
0.17,1044.97,4547.
0.18,1066.02,4727.
0.17,1064.22,4519.
0.17,1062.86,4461.
0.18,1081.60,4980.
0.17,1049.59,4450.
0.18,1044.40,4913.
0.18,1044.97,4547.
0.17,1045.31,4819.
0.18,1044.97,4547.
0.18,1031.18,4647.
0.18,1044.40,4913.
0.18,1044.97,4547.
0.17,1060.27,4633.
0.17,1066.02,4727.
0.16,1062.71,5191.
0.18,1032.37,4672.
0.17,1059.70,4486.
0.18,1081.15,5275.
0.18,1064.22,4519.
0.18,1066.02,4727.
0.17,1044.97,4547.
0.17,1047.80,5105.
0.18,1094.12,4711.
0.18,1045.31,4819.
0.17,1059.77,4944.
0.17,1059.59,4913.
0.18,1060.56,4905.
0.17,1087.63,4333.
0.18,1031.18,4647.
0.17,1044.97,4547.
0.18,1081.45,4763.
0.17,1076.29,5077.
0.17,1049.59,4450.
0.17,1047.80,5105.
0.17,1063.70,4883.
0.18,1064.22,4519.
0.17,1047.80,5105.
0.16,1064.22,4519.
0.16,1064.22,4519.
0.18,1045.31,4819.
0.18,1067.68,5286.
0.18,1044.97,4547.
0.17,1059.59,4913.
0.17,1047.80,5105.
0.17,1059.77,4944.
0.18,1067.68,5286.
0.19,1047.80,5105.
0.17,1076.29,5077.
0.18,1044.97,4547.
0.17,1044.97,4547.
0.18,1077.86,4888.
0.18,1071.68,4861.
0.17,1044.97,4547.
0.17,1059.59,4913.
0.17,1047.80,5105.
0.19,1059.77,4944.
0.17,1047.80,5105.
0.17,1059.59,4913.
0.17,1059.77,4944.
0.16,1064.22,4519.
0.18,1076.29,5077.
0.18,1066.02,4727.
0.18,1062.71,5191.
0.19,1081.61,5263.
0.18,1062.71,5191.
0.17,1044.40,4913.
0.17,1031.18,4647.
0.17,1076.10,4566.
0.17,1037.27,4705.
0.2,1044.97,4547.
0.18,1076.10,4566.
0.17,1079.02,4297.
0.18,1066.02,4727.
0.17,1060.27,4633.
0.17,1044.97,4547.
0.17,1027.29,4613.
0.17,1088.73,4891.
0.17,1088.73,4891.
0.17,1044.97,4547.
0.18,1059.77,4944.
0.17,1081.60,4980.
0.17,1059.77,4944.
0.17,1059.70,4486.
0.19,1075.08,4833.
0.18,1060.45,4638.
0.18,1045.31,4819.
0.17,1060.56,4905.
0.18,1063.22,4733.
0.17,1059.59,4913.
0.18,1081.60,4980.
0.17,1081.60,4980.
0.16,1044.97,4547.
0.16,1060.27,4633.
0.18,1044.97,4547.
0.18,1027.29,4613.
0.18,1076.10,4566.
0.16,1064.22,4519.
0.17,1044.40,4913.
0.17,1045.31,4819.
0.18,1059.59,4913.
0.18,1031.18,4647.
0.17,1060.27,4633.
0.17,1076.29,5077.
0.17,1087.63,4333.
0.18,1041.04,4880.
0.17,1041.04,4880.
0.17,1079.02,4297.
0.17,1044.97,4547.
0.17,1047.80,5105.
0.18,1108.40,4941.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.18,1066.02,4727.
0.2,1070.27,4416.
0.17,1059.77,4944.
0.17,1077.95,4986.
0.17,1087.76,4605.
0.18,1027.29,4613.
0.18,1083.86,4638.
0.18,1066.22,5000.
0.18,1081.60,4980.
0.17,1090.32,4677.
0.17,1052.56,4658.
0.17,1059.77,4944.
0.17,1090.17,5058.
0.17,1062.71,5191.
0.16,1045.31,4819.
0.18,1070.90,4625.
0.16,1031.18,4647.
0.2,1059.59,4913.
0.17,1077.04,5391.
0.17,1032.37,4672.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.18,1083.28,5269.
0.16,1064.22,4519.
0.17,1044.40,4913.
0.17,1118.49,5155.
0.18,1059.77,4944.
0.17,1059.70,4486.
0.17,1047.80,5105.
0.17,1062.86,4461.
0.18,1066.02,4727.
0.18,1031.18,4647.
0.17,1045.31,4819.
0.18,1060.45,4638.
0.18,1128.11,5080.
0.18,1044.97,4547.
0.17,1044.97,4547.
0.17,1031.18,4647.
0.16,1031.18,4647.
0.18,1032.37,4672.
0.17,1072.97,4519.
0.17,1071.26,4961.
0.18,1060.27,4633.
0.17,1066.02,4727.
0.18,1064.22,4519.
0.17,1072.70,5183.
0.16,1066.02,4727.
0.17,1055.74,4691.
0.17,1088.73,4891.
0.17,1031.18,4647.
0.17,1070.90,4625.
0.18,1059.59,4913.
0.18,1059.77,4944.
0.17,1066.02,4727.
0.18,1044.97,4547.
0.17,1044.97,4547.
0.18,1064.22,4519.
0.17,1047.80,5105.
0.18,1044.40,4913.
0.18,1044.40,4913.
0.17,1044.97,4547.
0.17,1049.59,4450.
0.18,1083.28,5269.
0.18,1066.02,4727.
0.17,1044.97,4547.
0.18,1066.02,4727.
0.16,1064.22,4519.
0.17,1047.80,5105.
0.18,1044.40,4913.
0.17,1058.11,4950.
0.17,1047.80,5105.
0.17,1049.59,4450.
0.18,1072.97,4519.
0.17,1041.04,4880.
0.17,1062.71,5191.
0.17,1044.40,4913.
0.17,1032.37,4672.
0.16,1062.86,4461.
0.17,1044.97,4547.
0.17,1088.20,4625.
0.17,1059.59,4913.
0.16,1059.70,4486.
0.18,1062.86,4461.
0.18,1059.77,4944.
0.17,1047.80,5105.
0.18,1054.60,4483.
0.17,1059.59,4913.
0.18,1064.22,4519.
0.17,1044.97,4547.
0.18,1031.18,4647.
0.18,1044.97,4547.
0.17,1044.40,4913.
0.18,1037.27,4705.
0.18,1126.81,5169.
0.18,1080.86,4872.
0.17,1052.56,4658.
0.18,1122.06,5213.
0.16,1047.80,5105.
0.17,1087.85,4669.
0.17,1081.60,4980.
0.17,1088.73,4891.
0.19,1079.60,4452.
0.17,1044.97,4547.
0.17,1078.77,4594.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.17,1037.27,4705.
0.17,1101.00,4888.
0.18,1070.90,4625.
0.18,1059.77,4944.
0.19,1047.80,5105.
0.17,1045.31,4819.
0.18,1090.79,4652.
0.18,1059.59,4913.
0.16,1047.80,5105.
0.18,1037.27,4705.
0.17,1037.27,4705.
0.17,1079.92,4788.
0.17,1060.27,4633.
0.18,1059.77,4944.
0.16,1064.22,4519.
0.18,1066.22,5000.
0.17,1047.80,5105.
0.18,1044.40,4913.
0.17,1059.59,4913.
0.17,1077.86,4888.
0.18,1064.22,4519.
0.16,1087.76,4605.
0.18,1122.77,4775.
0.18,1070.90,4625.
0.18,1088.37,4961.
0.17,1037.27,4705.
0.17,1031.18,4647.
0.16,1047.80,5105.
0.17,1041.04,4880.
0.17,1044.97,4547.
0.17,1087.76,4605.
0.18,1032.37,4672.
0.17,1063.22,4733.
0.17,1059.70,4486.
0.19,1059.77,4944.
0.19,1117.47,4572.
0.17,1059.70,4486.
0.18,1062.86,4461.
0.18,1049.59,4450.
0.18,1077.95,4986.
0.18,1120.72,4972.
0.19,1101.00,4888.
0.18,1083.06,5238.
0.18,1081.60,4980.
0.18,1031.18,4647.
0.17,1059.70,4486.
0.18,1059.77,4944.
0.18,1110.83,4988.
0.17,1084.23,5400.
0.17,1062.86,4461.
0.19,1064.22,4519.
0.18,1083.06,5238.
0.17,1059.70,4486.
0.17,1045.31,4819.
0.17,1047.80,5105.
0.16,1059.70,4486.
0.2,1064.22,4519.
0.17,1032.37,4672.
0.16,1100.72,4669.
0.17,1062.71,5191.
0.17,1060.45,4638.
0.18,1059.59,4913.
0.17,1064.22,4519.
0.18,1058.11,4950.
0.17,1041.04,4880.
0.18,1059.59,4913.
0.19,1037.27,4705.
0.17,1047.80,5105.
0.16,1047.80,5105.
0.18,1059.59,4913.
0.17,1060.27,4633.
0.18,1060.27,4633.
0.18,1027.29,4613.
0.17,1047.80,5105.
0.17,1047.80,5105.
0.18,1041.04,4880.
0.17,1059.77,4944.
0.17,1031.18,4647.
0.17,1060.27,4633.
0.17,1070.31,5072.
0.18,1081.60,4980.
0.16,1060.56,4905.
0.17,1066.00,5019.
0.18,1044.97,4547.
0.18,1102.55,4961.
0.18,1041.04,4880.
0.18,1027.29,4613.
0.18,1031.18,4647.
0.17,1044.97,4547.
0.17,1083.03,5430.
0.18,1044.97,4547.
0.17,1031.18,4647.
0.17,1041.04,4880.
0.18,1037.27,4705.
0.18,1041.04,4880.
0.18,1060.56,4905.
0.17,1037.27,4705.
0.17,1064.22,4519.
0.17,1047.80,5105.
0.18,1058.11,4950.
0.18,1044.97,4547.
0.18,1059.59,4913.
0.18,1044.97,4547.
0.18,1044.40,4913.
0.18,1081.03,4863.
0.19,1083.28,5269.
0.18,1027.29,4613.
0.18,1066.00,5019.
0.19,1032.37,4672.
0.17,1044.40,4913.
0.18,1059.77,4944.
0.18,1066.02,4727.
0.17,1062.71,5191.
0.18,1063.70,4883.
0.17,1054.60,4483.
0.17,1087.76,4605.
0.18,1059.77,4944.
0.18,1082.69,4627.
0.17,1062.71,5191.
0.17,1063.70,4883.
0.17,1108.40,4941.
0.17,1059.70,4486.
0.17,1044.97,4547.
0.17,1060.27,4633.
0.16,1088.73,4891.
0.18,1047.80,5105.
0.18,1031.18,4647.
0.18,1059.59,4913.
0.17,1076.63,4830.
0.18,1059.59,4913.
0.17,1047.80,5105.
0.18,1072.70,5183.
0.22,1059.77,4944.
0.18,1088.98,5227.
0.18,1059.70,4486.
0.29,1057.70,4605.
0.18,1044.40,4913.
0.17,1037.27,4705.
0.18,1052.56,4658.
0.17,1047.80,5105.
0.18,1083.06,5238.
0.17,1032.37,4672.
0.18,1059.77,4944.
0.18,1081.45,4763.
0.16,1083.03,5430.
0.17,1045.31,4819.
0.17,1076.29,5077.
0.18,1120.72,4972.
0.17,1062.86,4461.
0.18,1070.13,4805.
0.17,1066.00,5019.
0.17,1047.80,5105.
0.18,1059.77,4944.
0.18,1059.59,4913.
0.18,1031.18,4647.
0.18,1063.22,4733.
0.19,1041.04,4880.
0.19,1060.27,4633.
0.18,1045.86,4425.
0.2,1044.97,4547.
0.18,1080.86,4872.
0.18,1059.70,4486.
0.19,1066.00,5019.
0.31,1045.86,4425.
0.19,1071.68,4861.
0.2,1072.97,4519.
0.18,1079.02,4297.
0.19,1059.70,4486.
0.19,1059.77,4944.
0.19,1037.27,4705.
0.18,1045.86,4425.
0.2,1045.31,4819.
0.19,1044.97,4547.
0.2,1078.77,4594.
0.19,1059.59,4913.
0.19,1037.27,4705.
0.18,1059.70,4486.
0.18,1044.97,4547.
0.19,1059.77,4944.
0.2,1044.40,4913.
0.18,1047.80,5105.
0.18,1044.97,4547.
0.31,1059.59,4913.
0.18,1027.29,4613.
0.19,1044.40,4913.
0.19,1047.80,5105.
0.19,1044.97,4547.
0.23,1037.27,4705.
0.19,1059.59,4913.
0.19,1087.63,4333.
0.18,1044.97,4547.
0.2,1059.70,4486.
0.32,1059.59,4913.
0.2,1032.37,4672.
0.18,1101.00,4888.
0.18,1062.71,5191.
0.19,1059.59,4913.
0.18,1027.29,4613.
0.19,1064.22,4519.
0.31,1168.26,4808.
0.18,1064.22,4519.
0.31,1072.97,4519.
0.18,1088.73,4891.
0.19,1041.04,4880.
0.2,1044.40,4913.
0.18,1064.22,4519.
0.18,1060.27,4633.
0.19,1059.77,4944.
0.19,1064.22,4519.
0.2,1083.28,5269.
0.2,1063.70,4883.
0.19,1064.22,4519.
0.31,1032.37,4672.
0.19,1078.77,4594.
0.2,1058.11,4950.
0.18,1060.27,4633.
0.31,1044.40,4913.
0.19,1076.10,4566.
0.2,1045.31,4819.
0.18,1044.97,4547.
0.19,1104.45,5563.
0.18,1060.27,4633.
0.19,1059.59,4913.
0.19,1044.40,4913.
0.18,1070.13,4805.
0.19,1041.04,4880.
0.19,1059.59,4913.
0.19,1044.97,4547.
0.19,1059.70,4486.
0.19,1059.70,4486.
0.3,1031.18,4647.
0.18,1060.27,4633.
0.2,1090.93,4638.
0.2,1071.68,4861.
0.19,1041.04,4880.
0.17,1064.22,4519.
0.16,1064.22,4519.
0.17,1059.77,4944.
0.17,1066.02,4727.
