RunTime,RealTime,RouteLength
0.17,1059.59,4913.
0.17,1064.22,4519.
0.17,1047.80,5105.
0.18,1059.70,4486.
0.17,1064.22,4519.
0.17,1058.11,4950.
0.18,1059.59,4913.
0.17,1059.77,4944.
0.17,1064.22,4519.
0.17,1059.77,4944.
0.19,1059.77,4944.
0.17,1044.97,4547.
0.18,1044.97,4547.
0.17,1059.70,4486.
0.17,1044.97,4547.
0.17,1037.27,4705.
0.18,1027.29,4613.
0.18,1044.40,4913.
0.17,1044.40,4913.
0.17,1066.00,5019.
0.17,1037.27,4705.
0.17,1059.70,4486.
0.17,1044.40,4913.
0.17,1044.97,4547.
0.17,1084.23,5400.
0.17,1041.04,4880.
0.18,1045.31,4819.
0.17,1031.18,4647.
0.18,1059.77,4944.
0.17,1032.37,4672.
0.18,1059.77,4944.
0.18,1044.97,4547.
0.17,1064.22,4519.
0.18,1047.80,5105.
0.18,1059.59,4913.
0.18,1059.59,4913.
0.17,1044.97,4547.
0.18,1059.77,4944.
0.17,1044.97,4547.
0.17,1047.80,5105.
0.18,1059.59,4913.
0.17,1062.71,5191.
0.18,1044.97,4547.
0.17,1044.97,4547.
0.18,1031.18,4647.
0.18,1059.59,4913.
0.17,1059.77,4944.
0.18,1101.00,4888.
0.18,1032.37,4672.
0.17,1074.66,4263.
0.18,1059.59,4913.
0.17,1047.80,5105.
0.17,1044.40,4913.
0.17,1064.22,4519.
0.18,1044.97,4547.
0.18,1059.59,4913.
0.18,1070.31,5072.
0.17,1088.73,4891.
0.17,1044.40,4913.
0.17,1047.80,5105.
0.17,1045.31,4819.
0.18,1090.79,4652.
0.17,1064.22,4519.
0.18,1037.27,4705.
0.18,1044.97,4547.
0.16,1044.97,4547.
0.18,1044.97,4547.
0.18,1044.40,4913.
0.18,1044.97,4547.
0.17,1044.97,4547.
0.17,1059.77,4944.
0.17,1037.27,4705.
0.17,1049.59,4450.
0.17,1047.80,5105.
0.18,1027.29,4613.
0.17,1037.27,4705.
0.17,1072.97,4519.
0.18,1059.59,4913.
0.17,1047.80,5105.
0.17,1027.29,4613.
0.18,1032.37,4672.
0.17,1044.97,4547.
0.17,1037.27,4705.
0.17,1087.63,4333.
0.18,1058.11,4950.
0.17,1059.77,4944.
0.17,1041.04,4880.
0.18,1044.40,4913.
0.17,1037.27,4705.
0.18,1081.60,4980.
0.17,1031.18,4647.
0.17,1047.80,5105.
0.18,1060.45,4638.
0.17,1032.37,4672.
0.18,1031.18,4647.
0.17,1076.63,4830.
0.18,1031.18,4647.
0.18,1059.59,4913.
0.17,1027.29,4613.
0.17,1070.13,4805.
0.18,1059.59,4913.
0.18,1037.27,4705.
0.17,1044.40,4913.
0.17,1070.31,5072.
0.18,1059.77,4944.
0.17,1031.18,4647.
0.18,1058.11,4950.
0.17,1044.97,4547.
0.18,1070.90,4625.
0.18,1045.31,4819.
0.17,1059.59,4913.
0.17,1044.97,4547.
0.17,1047.80,5105.
0.17,1031.18,4647.
0.17,1044.97,4547.
0.17,1037.27,4705.
0.17,1044.40,4913.
0.17,1059.59,4913.
0.17,1059.59,4913.
0.18,1083.28,5269.
0.18,1044.40,4913.
0.17,1059.70,4486.
0.17,1027.29,4613.
0.18,1059.77,4944.
0.18,1081.60,4980.
0.17,1027.29,4613.
0.17,1068.79,4827.
0.17,1031.18,4647.
0.17,1031.18,4647.
0.18,1059.59,4913.
0.17,1044.97,4547.
0.17,1083.06,5238.
0.18,1027.29,4613.
0.17,1062.86,4461.
0.17,1066.02,4727.
0.17,1041.04,4880.
0.17,1047.80,5105.
0.17,1032.37,4672.
0.18,1059.77,4944.
0.18,1070.90,4625.
0.18,1044.97,4547.
0.17,1047.80,5105.
0.17,1044.97,4547.
0.17,1045.31,4819.
0.18,1059.59,4913.
0.18,1045.31,4819.
0.17,1059.59,4913.
0.17,1059.77,4944.
0.17,1064.22,4519.
0.17,1045.31,4819.
0.17,1045.31,4819.
0.17,1059.77,4944.
0.17,1027.29,4613.
0.17,1037.27,4705.
0.17,1037.27,4705.
0.17,1045.86,4425.
0.18,1044.97,4547.
0.18,1031.18,4647.
0.17,1041.04,4880.
0.17,1041.04,4880.
0.17,1044.97,4547.
0.18,1037.27,4705.
0.17,1037.27,4705.
0.17,1064.22,4519.
0.17,1044.97,4547.
0.17,1059.77,4944.
0.17,1062.71,5191.
0.17,1059.70,4486.
0.17,1041.80,4391.
0.17,1088.73,4891.
0.18,1047.80,5105.
0.17,1044.97,4547.
0.17,1059.59,4913.
0.16,1059.70,4486.
0.17,1032.37,4672.
0.17,1066.22,5000.
0.18,1058.11,4950.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.17,1032.37,4672.
0.18,1044.97,4547.
0.17,1032.37,4672.
0.17,1059.77,4944.
0.18,1081.60,4980.
0.17,1031.18,4647.
0.18,1045.31,4819.
0.18,1059.70,4486.
0.17,1044.97,4547.
0.17,1037.27,4705.
0.18,1059.59,4913.
0.18,1072.97,4519.
0.18,1060.45,4638.
0.17,1059.77,4944.
0.16,1045.86,4425.
0.17,1037.27,4705.
0.17,1059.77,4944.
0.17,1062.71,5191.
0.17,1059.59,4913.
0.18,1045.31,4819.
0.17,1059.59,4913.
0.18,1081.60,4980.
0.18,1031.18,4647.
0.17,1041.04,4880.
0.17,1059.59,4913.
0.17,1032.37,4672.
0.17,1041.04,4880.
0.17,1077.46,4861.
0.17,1032.37,4672.
0.18,1047.80,5105.
0.17,1045.31,4819.
0.16,1064.22,4519.
0.18,1058.11,4950.
0.17,1044.97,4547.
0.18,1032.37,4672.
0.16,1031.18,4647.
0.17,1064.22,4519.
0.17,1070.13,4805.
0.17,1032.37,4672.
0.18,1044.97,4547.
0.18,1037.27,4705.
0.18,1044.97,4547.
0.18,1044.40,4913.
0.17,1027.29,4613.
0.18,1032.37,4672.
0.18,1066.02,4727.
0.17,1064.22,4519.
0.17,1059.77,4944.
0.17,1044.97,4547.
0.18,1027.29,4613.
0.18,1044.97,4547.
0.18,1059.77,4944.
0.17,1062.86,4461.
0.17,1059.59,4913.
0.18,1044.97,4547.
0.17,1064.22,4519.
0.17,1081.03,4863.
0.17,1037.27,4705.
0.17,1064.22,4519.
0.17,1070.90,4625.
0.17,1047.80,5105.
0.18,1047.80,5105.
0.18,1032.37,4672.
0.17,1037.27,4705.
0.18,1044.97,4547.
0.18,1059.59,4913.
0.17,1072.97,4519.
0.17,1044.97,4547.
0.17,1031.18,4647.
0.17,1077.95,4986.
0.18,1059.59,4913.
0.17,1044.40,4913.
0.17,1059.59,4913.
0.17,1031.18,4647.
0.17,1044.97,4547.
0.17,1032.37,4672.
0.17,1031.18,4647.
0.18,1097.13,4925.
0.18,1059.77,4944.
0.17,1072.97,4519.
0.18,1044.97,4547.
0.17,1059.70,4486.
0.18,1044.97,4547.
0.16,1041.04,4880.
0.17,1044.97,4547.
0.17,1081.60,4980.
0.17,1064.22,4519.
0.17,1047.80,5105.
0.18,1100.69,4919.
0.18,1059.77,4944.
0.17,1031.18,4647.
0.17,1064.22,4519.
0.18,1059.59,4913.
0.17,1031.18,4647.
0.18,1032.37,4672.
0.18,1119.36,4811.
0.17,1045.31,4819.
0.17,1031.18,4647.
0.18,1070.90,4625.
0.18,1041.04,4880.
0.17,1044.97,4547.
0.17,1047.80,5105.
0.17,1059.70,4486.
0.18,1031.18,4647.
0.17,1066.02,4727.
0.17,1032.37,4672.
0.16,1064.22,4519.
0.17,1047.80,5105.
0.17,1059.70,4486.
0.17,1064.22,4519.
0.16,1060.56,4905.
0.19,1059.77,4944.
0.17,1129.88,5522.
0.17,1064.22,4519.
0.18,1041.04,4880.
0.17,1032.37,4672.
0.17,1044.97,4547.
0.17,1047.80,5105.
0.18,1044.97,4547.
0.18,1059.77,4944.
0.17,1045.31,4819.
0.17,1045.31,4819.
0.17,1064.22,4519.
0.17,1047.80,5105.
0.16,1041.04,4880.
0.17,1059.70,4486.
0.18,1037.27,4705.
0.17,1084.23,5400.
0.17,1059.77,4944.
0.17,1062.86,4461.
0.18,1037.27,4705.
0.17,1064.22,4519.
0.18,1044.97,4547.
0.18,1059.77,4944.
0.18,1041.04,4880.
0.17,1044.97,4547.
0.18,1044.97,4547.
0.17,1044.97,4547.
0.17,1047.80,5105.
0.17,1044.97,4547.
0.18,1059.59,4913.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.18,1064.22,4519.
0.17,1044.40,4913.
0.18,1059.59,4913.
0.18,1083.28,5269.
0.17,1044.97,4547.
0.17,1032.37,4672.
0.19,1045.31,4819.
0.17,1072.97,4519.
0.18,1044.40,4913.
0.17,1076.29,5077.
0.18,1059.59,4913.
0.17,1045.31,4819.
0.2,1031.18,4647.
0.18,1084.23,5400.
0.18,1076.29,5077.
0.17,1044.97,4547.
0.17,1045.31,4819.
0.18,1044.40,4913.
0.17,1064.22,4519.
0.17,1037.27,4705.
0.18,1059.77,4944.
0.17,1041.04,4880.
0.17,1037.27,4705.
0.18,1044.40,4913.
0.17,1044.97,4547.
0.17,1059.77,4944.
0.17,1031.18,4647.
0.17,1044.97,4547.
0.17,1059.70,4486.
0.18,1041.04,4880.
0.17,1031.18,4647.
0.17,1044.97,4547.
0.17,1027.29,4613.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.18,1031.18,4647.
0.17,1055.74,4691.
0.17,1044.97,4547.
0.17,1070.31,5072.
0.17,1041.04,4880.
0.17,1058.11,4950.
0.18,1032.37,4672.
0.16,1059.70,4486.
0.17,1032.37,4672.
0.17,1064.22,4519.
0.17,1070.31,5072.
0.18,1059.77,4944.
0.18,1032.37,4672.
0.17,1027.29,4613.
0.18,1059.59,4913.
0.17,1031.18,4647.
0.18,1044.97,4547.
0.18,1059.70,4486.
0.17,1068.79,4827.
0.17,1032.37,4672.
0.17,1059.59,4913.
0.18,1031.18,4647.
0.19,1083.28,5269.
0.18,1032.37,4672.
0.17,1072.97,4519.
0.18,1059.59,4913.
0.17,1088.73,4891.
0.18,1031.18,4647.
0.18,1059.59,4913.
0.17,1068.79,4827.
0.2,1076.29,5077.
0.18,1058.11,4950.
0.18,1078.77,4594.
0.19,1060.27,4633.
0.17,1037.27,4705.
0.17,1047.80,5105.
0.17,1044.40,4913.
0.17,1037.27,4705.
0.18,1064.22,4519.
0.18,1059.70,4486.
0.18,1044.97,4547.
0.18,1047.80,5105.
0.17,1072.97,4519.
0.18,1054.60,4483.
0.17,1062.86,4461.
0.18,1104.39,4947.
0.18,1066.22,5000.
0.17,1060.27,4633.
0.18,1067.68,5286.
0.18,1037.27,4705.
0.17,1047.80,5105.
0.17,1032.37,4672.
0.18,1037.27,4705.
0.18,1032.37,4672.
0.19,1059.59,4913.
0.19,1059.77,4944.
0.19,1070.13,4805.
0.2,1083.06,5238.
0.19,1044.97,4547.
0.19,1059.77,4944.
0.19,1064.22,4519.
0.32,1060.27,4633.
0.19,1032.37,4672.
0.2,1044.97,4547.
0.18,1047.80,5105.
0.19,1072.70,5183.
0.31,1059.77,4944.
0.19,1045.86,4425.
0.18,1044.97,4547.
0.2,1054.60,4483.
0.18,1044.40,4913.
0.19,1062.71,5191.
0.19,1044.40,4913.
0.19,1037.27,4705.
0.19,1037.27,4705.
0.19,1044.97,4547.
0.19,1111.22,5002.
0.2,1059.59,4913.
0.2,1032.37,4672.
0.18,1045.31,4819.
0.2,1045.31,4819.
0.18,1059.70,4486.
0.19,1045.31,4819.
0.18,1064.22,4519.
0.18,1060.27,4633.
0.19,1059.59,4913.
0.19,1044.40,4913.
0.18,1064.22,4519.
0.19,1064.22,4519.
0.18,1037.27,4705.
0.3,1059.77,4944.
0.19,1071.26,4961.
0.18,1047.80,5105.
0.18,1044.97,4547.
0.19,1044.97,4547.
0.19,1060.27,4633.
0.19,1037.27,4705.
0.33,1083.28,5269.
0.19,1037.27,4705.
0.31,1044.97,4547.
0.19,1044.97,4547.
0.19,1062.71,5191.
0.19,1064.22,4519.
0.18,1032.37,4672.
0.18,1060.27,4633.
0.18,1064.22,4519.
0.19,1032.37,4672.
0.18,1059.59,4913.
0.19,1059.59,4913.
0.33,1047.80,5105.
0.31,1059.59,4913.
0.2,1059.77,4944.
0.2,1101.00,4888.
0.19,1044.40,4913.
0.32,1044.97,4547.
0.18,1037.27,4705.
0.18,1045.31,4819.
0.18,1070.31,5072.
0.19,1060.27,4633.
0.18,1059.70,4486.
0.18,1064.22,4519.
0.19,1044.97,4547.
0.18,1059.70,4486.
0.19,1037.27,4705.
0.18,1059.70,4486.
0.19,1044.40,4913.
0.2,1059.59,4913.
0.2,1059.77,4944.
0.19,1031.18,4647.
0.19,1032.37,4672.
0.19,1044.97,4547.
0.2,1027.29,4613.
0.19,1066.02,4727.
0.18,1045.31,4819.
0.18,1041.04,4880.
0.17,1041.04,4880.
0.17,1064.22,4519.
0.17,1047.80,5105.
0.18,1070.31,5072.
0.18,1059.59,4913.
0.18,1032.37,4672.
0.17,1031.18,4647.
0.17,1064.22,4519.
0.17,1031.18,4647.
0.18,1044.97,4547.
0.17,1037.27,4705.
0.19,1059.59,4913.
0.18,1044.40,4913.
0.17,1081.60,4980.
0.18,1037.27,4705.
0.18,1059.77,4944.
0.18,1045.31,4819.
0.16,1047.80,5105.
0.17,1031.18,4647.
0.17,1032.37,4672.
0.18,1031.18,4647.
0.18,1119.71,4997.
0.18,1047.80,5105.
0.17,1047.80,5105.
0.17,1032.37,4672.
0.18,1083.06,5238.
0.17,1032.37,4672.
0.17,1044.97,4547.
0.17,1037.27,4705.
0.16,1059.70,4486.
0.17,1041.04,4880.
0.18,1059.77,4944.
0.17,1027.29,4613.
0.18,1059.59,4913.
0.17,1060.27,4633.
0.17,1076.37,4838.
0.17,1031.18,4647.
0.16,1047.80,5105.
0.17,1045.31,4819.
0.17,1064.22,4519.
0.17,1066.02,4727.
0.18,1044.97,4547.
0.17,1031.18,4647.
0.17,1037.27,4705.
0.17,1054.60,4483.
0.18,1044.97,4547.
0.18,1044.97,4547.
0.17,1044.97,4547.
0.17,1044.97,4547.
0.17,1047.80,5105.
0.2,1071.68,4861.
0.18,1081.60,4980.
0.17,1059.70,4486.
0.18,1032.37,4672.
0.18,1062.86,4461.
0.18,1062.86,4461.
0.17,1047.80,5105.
0.18,1072.97,4519.
0.18,1037.27,4705.
0.18,1047.80,5105.
0.18,1059.77,4944.
0.17,1059.59,4913.
0.17,1064.22,4519.
0.18,1044.97,4547.
0.17,1059.59,4913.
0.17,1066.02,4727.
0.17,1037.27,4705.
0.17,1076.63,4830.
0.17,1067.86,5038.
0.18,1044.40,4913.
0.18,1081.60,4980.
0.17,1064.22,4519.
0.17,1031.18,4647.
0.18,1047.80,5105.
0.22,1047.80,5105.
0.19,1044.97,4547.
0.17,1087.63,4333.
0.17,1027.29,4613.
0.17,1059.77,4944.
0.16,1044.97,4547.
0.17,1037.27,4705.
0.17,1059.59,4913.
0.17,1044.97,4547.
0.17,1054.60,4483.
0.17,1059.70,4486.
0.18,1076.10,4566.
