RunTime,RealTime,RouteLength
0.18,1181.51,5922.
0.18,1070.27,4416.
0.17,1054.60,4483.
0.19,1207.61,5077.
0.17,1097.13,4925.
0.18,1123.64,5394.
0.18,1083.48,5063.
0.16,1070.90,4625.
0.17,1120.72,4972.
0.17,1119.71,4997.
0.16,1064.22,4519.
0.18,1161.10,5427.
0.17,1088.98,5227.
0.16,1060.56,4905.
0.19,1060.45,4638.
0.18,1041.04,4880.
0.17,1117.29,4997.
0.18,1073.35,4791.
0.17,1076.37,4838.
0.18,1246.20,4919.
0.17,1118.37,4547.
0.17,1044.97,4547.
0.16,1118.31,5138.
0.17,1095.84,4466.
0.17,1045.86,4425.
0.18,1155.38,5269.
0.16,1074.66,4263.
0.16,1049.59,4450.
0.17,1059.70,4486.
0.17,1066.02,4727.
0.17,1146.11,4977.
0.19,1124.13,5113.
0.16,1087.63,4333.
0.18,1044.40,4913.
0.17,1143.44,5008.
0.18,1041.04,4880.
0.18,1137.01,4805.
0.17,1137.38,4991.
0.17,1137.94,5333.
0.18,1074.66,4263.
0.17,1047.80,5105.
0.18,1084.44,5302.
0.18,1037.27,4705.
0.17,1097.08,5019.
0.17,1110.44,4786.
0.17,1094.12,4711.
0.18,1083.86,4638.
0.17,1118.04,4977.
0.15,1116.89,4397.
0.18,1136.77,4866.
0.17,1151.75,4563.
0.17,1052.56,4658.
0.17,1044.40,4913.
0.17,1103.40,4533.
0.17,1071.11,4897.
0.17,1075.32,5105.
0.17,1087.76,4605.
0.17,1070.13,4805.
0.17,1119.47,4813.
0.16,1064.22,4519.
0.17,1064.22,4519.
0.17,1059.70,4486.
0.17,1113.05,4980.
0.18,1152.17,4875.
0.18,1047.80,5105.
0.16,1045.31,4819.
0.17,1165.85,5333.
0.16,1067.68,5286.
0.18,1115.37,4755.
0.17,1078.77,4594.
0.17,1090.32,4677.
0.17,1079.02,4297.
0.18,1083.28,5269.
0.17,1076.37,4838.
0.17,1027.29,4613.
0.17,1075.08,4833.
0.17,1100.32,4766.
0.18,1071.11,4897.
0.17,1070.13,4805.
0.17,1047.80,5105.
0.18,1112.91,4488.
0.17,1117.87,5100.
0.18,1139.53,5100.
0.16,1090.32,4677.
0.17,1059.59,4913.
0.17,1199.14,4875.
0.17,1118.56,4747.
0.19,1070.13,4805.
0.18,1088.98,5227.
0.17,1062.86,4461.
0.18,1138.68,4822.
0.18,1087.76,4605.
0.17,1047.80,5105.
0.17,1057.70,4605.
0.16,1088.73,4891.
0.17,1095.78,4952.
0.19,1182.64,5200.
0.18,1154.71,5194.
0.17,1088.73,4891.
0.17,1066.00,5019.
0.17,1120.48,5086.
0.17,1047.80,5105.
0.17,1060.45,4638.
0.17,1143.63,5444.
0.17,1066.02,4727.
0.19,1205.22,5122.
0.16,1112.36,4491.
0.17,1102.28,5338.
0.18,1144.68,5308.
0.16,1027.29,4613.
0.17,1041.04,4880.
0.17,1071.68,4861.
0.17,1062.71,5191.
0.18,1100.69,4919.
0.17,1057.70,4605.
0.16,1062.86,4461.
0.16,1067.68,5286.
0.17,1118.07,4875.
0.17,1134.77,4825.
0.17,1070.13,4805.
0.17,1057.70,4605.
0.18,1066.00,5019.
0.16,1059.70,4486.
0.18,1121.06,5275.
0.16,1066.02,4727.
0.18,1045.31,4819.
0.18,1140.46,4691.
0.17,1078.25,4608.
0.18,1063.70,4883.
0.17,1066.11,4905.
0.19,1044.97,4547.
0.18,1117.29,4997.
0.16,1087.89,4558.
0.17,1032.37,4672.
0.16,1074.66,4263.
0.17,1027.29,4613.
0.18,1083.06,5238.
0.17,1070.31,5072.
0.17,1060.56,4905.
0.17,1047.80,5105.
0.16,1095.50,4997.
0.17,1102.06,4438.
0.18,1087.82,4500.
0.17,1088.73,4891.
0.16,1110.41,4413.
0.18,1108.82,5125.
0.16,1098.67,4500.
0.17,1031.18,4647.
0.17,1047.80,5105.
0.17,1060.56,4905.
0.17,1103.42,4763.
0.18,1064.22,4519.
0.17,1118.31,5138.
0.17,1060.45,4638.
0.16,1045.31,4819.
0.17,1084.44,5302.
0.18,1041.04,4880.
0.18,1091.92,4408.
0.17,1110.44,4786.
0.17,1247.69,5191.
0.17,1044.97,4547.
0.18,1137.38,4991.
0.16,1045.31,4819.
0.18,1121.06,5275.
0.16,1031.18,4647.
0.17,1104.44,4841.
0.18,1070.90,4625.
0.17,1062.86,4461.
0.17,1079.79,4725.
0.17,1045.31,4819.
0.17,1041.04,4880.
0.19,1199.58,4941.
0.18,1108.40,4941.
0.17,1066.02,4727.
0.18,1110.41,4413.
0.17,1183.25,4397.
0.17,1087.63,4333.
0.16,1062.86,4461.
0.16,1072.70,5183.
0.19,1111.36,5088.
0.17,1108.40,4941.
0.18,1114.58,5091.
0.17,1104.47,4808.
0.17,1087.69,4511.
0.18,1060.27,4633.
0.18,1059.59,4913.
0.16,1094.12,4711.
0.17,1084.44,5302.
0.18,1082.69,4627.
0.18,1104.36,5241.
0.17,1045.31,4819.
0.17,1032.37,4672.
0.17,1044.97,4547.
0.19,1118.49,5155.
0.17,1059.59,4913.
0.18,1044.97,4547.
0.18,1134.04,5088.
0.16,1045.31,4819.
0.18,1045.31,4819.
0.16,1079.71,4969.
0.17,1064.22,4519.
0.18,1122.80,4805.
0.18,1204.23,4672.
0.17,1064.22,4519.
0.17,1075.08,4833.
0.17,1075.08,4833.
0.17,1044.97,4547.
0.17,1097.67,4625.
0.16,1078.77,4594.
0.16,1031.18,4647.
0.17,1081.60,4980.
0.18,1117.72,5080.
0.17,1087.76,4605.
0.17,1102.14,4541.
0.16,1105.56,5108.
0.18,1100.52,4997.
0.16,1059.70,4486.
0.18,1047.80,5105.
0.18,1059.59,4913.
0.17,1037.27,4705.
0.19,1102.04,5311.
0.19,1136.77,4866.
0.17,1086.90,5119.
0.17,1145.40,5072.
0.17,1090.34,5183.
0.17,1114.66,5105.
0.17,1044.97,4547.
0.18,1068.79,4827.
0.17,1088.11,4772.
0.16,1140.98,5163.
0.17,1083.06,5238.
0.18,1191.49,5380.
0.18,1117.29,4997.
0.17,1084.44,5302.
0.17,1054.60,4483.
0.17,1113.70,4819.
0.18,1152.48,5013.
0.19,1081.60,4980.
0.19,1108.38,5319.
0.17,1057.70,4605.
0.17,1075.32,5105.
0.18,1064.22,4519.
0.17,1063.22,4733.
0.17,1096.44,4575.
0.17,1115.99,4913.
0.17,1044.97,4547.
0.16,1071.11,4897.
0.16,1101.12,5155.
0.17,1093.19,5002.
0.18,1119.24,4755.
0.18,1122.17,4455.
0.17,1071.68,4861.
0.17,1063.22,4733.
0.17,1113.49,4919.
0.18,1124.53,4816.
0.18,1088.11,4772.
0.17,1087.63,4333.
0.17,1105.80,5391.
0.17,1073.61,4855.
0.17,1159.77,5261.
0.17,1196.75,4930.
0.18,1068.79,4827.
0.17,1118.31,5138.
0.17,1142.96,5261.
0.17,1045.31,4819.
0.18,1059.70,4486.
0.18,1162.87,5291.
0.19,1162.94,5330.
0.18,1112.67,5230.
0.17,1104.39,4947.
0.17,1063.70,4883.
0.17,1079.79,4725.
0.17,1094.91,4986.
0.17,1031.18,4647.
0.18,1044.40,4913.
0.16,1064.22,4519.
0.18,1118.25,5197.
0.18,1084.44,5302.
0.16,1045.31,4819.
0.16,1045.31,4819.
0.17,1066.00,5019.
0.19,1085.14,4833.
0.18,1111.22,5002.
0.18,1081.15,5275.
0.18,1110.41,4413.
0.17,1087.63,4333.
0.17,1084.23,5400.
0.17,1047.80,5105.
0.17,1071.68,4861.
0.17,1076.63,4830.
0.18,1041.04,4880.
0.17,1088.73,4891.
0.17,1088.20,4625.
0.17,1076.10,4566.
0.17,1076.37,4838.
0.17,1105.84,5011.
0.17,1027.29,4613.
0.19,1088.37,4961.
0.16,1064.22,4519.
0.17,1080.97,4894.
0.16,1047.80,5105.
0.18,1124.25,5752.
0.17,1087.63,4333.
0.17,1100.32,4766.
0.16,1057.70,4605.
0.18,1082.69,4627.
0.18,1139.60,5136.
0.17,1112.53,4694.
0.16,1115.10,4744.
0.17,1121.83,5244.
0.18,1120.64,5666.
0.17,1087.63,4333.
0.15,1095.50,4997.
0.18,1111.27,5136.
0.2,1227.21,5577.
0.17,1031.18,4647.
0.18,1137.38,4991.
0.16,1064.22,4519.
0.18,1072.97,4519.
0.18,1047.80,5105.
0.18,1045.31,4819.
0.18,1064.22,4519.
0.16,1094.12,4711.
0.16,1087.76,4605.
0.17,1073.13,4697.
0.19,1139.87,4841.
0.17,1044.97,4547.
0.18,1290.87,5241.
0.17,1087.63,4333.
0.18,1068.79,4827.
0.18,1117.18,5341.
0.17,1093.92,4438.
0.18,1107.89,5361.
0.17,1088.85,4644.
0.18,1070.90,4625.
0.17,1079.02,4297.
0.17,1067.54,4383.
0.16,1064.22,4519.
0.17,1076.10,4566.
0.19,1105.84,5011.
0.18,1081.03,4863.
0.18,1087.34,4566.
0.17,1110.41,5169.
0.17,1076.37,4838.
