RunTime,RealTime,RouteLength
1.69,2247.69,10208
1.72,2126.83,9688.
1.62,2161.14,9886.
1.62,2267.03,9936.
1.66,2179.31,9925.
1.69,2155.48,9713.
1.69,2267.72,11330
1.69,2234.00,10025
1.69,2189.72,10008
1.63,2257.11,10586
1.66,2267.49,10094
1.63,2228.66,10444
1.68,2328.88,11497
1.69,2207.63,10325
1.59,2236.59,10122
1.58,2214.12,10900
1.62,2174.28,10397
2.58,2146.76,9638.
1.59,2256.20,10813
1.79,2246.13,10563
1.63,2280.06,10172
2.64,2251.37,10483
1.76,2214.48,10086
1.58,2177.88,9813.
1.63,2260.01,10108
2.67,2274.72,10469
1.57,2191.89,10030
1.66,2181.77,9958.
1.64,2165.38,10294
2.43,2178.39,9838.
2.53,2198.21,9902.
1.56,2149.34,9869.
1.64,2181.90,10030
1.54,2196.61,10369
1.68,2279.82,10041
1.6,2238.42,10308
1.6,2176.73,10697
1.54,2257.11,10586
1.62,2241.06,10355
1.45,2171.00,10138
1.52,2300.30,11000
1.54,2205.03,9877.
1.45,2165.99,10027
1.52,2240.72,10344
1.57,2290.17,10425
1.51,2197.70,10269
1.55,2458.05,11075
1.46,2165.39,9991.
1.48,2274.69,10111
1.54,2272.02,10566
1.49,2271.51,10130
1.49,2220.64,10727
1.52,2261.76,9961.
1.55,2222.91,10491
1.53,2284.12,10205
1.55,2175.51,10569
1.53,2310.28,10163
1.47,2204.92,10600
1.52,2256.07,10691
1.53,2255.63,10402
1.49,2256.66,9727.
1.56,2268.03,10191
1.43,2184.69,10188
1.5,2343.36,10366
1.42,2128.95,9786.
1.47,2319.46,10419
1.46,2211.54,10430
1.5,2216.86,10311
1.49,2237.26,10391
1.48,2152.20,10002
1.58,2357.67,10672
1.52,2131.36,9630.
1.49,2151.50,10077
1.44,2314.43,10247
1.53,2204.62,10133
1.49,2219.53,10455
1.49,2177.96,10475
1.55,2333.59,10822
1.46,2131.36,9630.
1.48,2245.06,10819
1.5,2264.97,10658
1.42,2183.34,10308
1.47,2315.27,9947.
1.46,2164.73,9991.
1.48,2170.33,9836.
1.52,2161.31,10063
1.53,2223.67,10472
1.45,2157.98,10502
1.44,2196.28,10163
1.48,2262.59,10566
1.53,2196.71,10441
1.52,2291.11,10991
1.55,2168.35,10027
1.47,2235.62,10061
1.5,2211.06,10005
1.48,2167.37,9738.
1.51,2244.48,9888.
1.5,2158.34,9627.
1.53,2231.72,10333
1.52,2237.02,10194
1.48,2173.38,10533
1.53,2265.52,10952
1.48,2224.77,10177
1.52,2356.22,10102
1.52,2180.18,10633
1.5,2313.23,10366
1.59,2196.30,10205
1.57,2288.38,10669
1.46,2222.97,10469
1.56,2323.70,10602
1.52,2169.26,9897.
1.51,2218.95,10230
1.54,2236.28,10069
1.51,2223.86,10113
1.52,2253.69,11122
1.49,2155.48,9713.
1.54,2252.37,10366
1.53,2208.53,10605
1.49,2258.62,10086
1.52,2279.90,10138
1.46,2223.84,10722
1.46,2180.62,9786.
1.53,2196.19,9802.
1.48,2182.55,10100
1.52,2151.99,10658
1.53,2201.40,10483
1.51,2273.55,10469
1.5,2245.54,10094
1.53,2322.11,10694
