RunTime,RealTime,RouteLength
1.64,2188.21,9888.
1.74,2149.34,9869.
1.68,2199.66,10486
1.67,2183.21,10325
1.77,2173.38,10533
1.65,2133.57,9763.
1.62,2149.34,9869.
1.78,2183.34,10308
1.59,2128.95,9786.
1.64,2130.64,9919.
1.86,2178.39,9838.
1.6,2130.64,9919.
1.69,2169.66,10725
1.77,2216.73,10208
1.93,2176.60,9813.
2.19,2171.00,10138
2.58,2178.44,10400
1.59,2185.49,10863
1.69,2176.81,10341
2.68,2209.73,9772.
1.62,2133.57,9763.
1.62,2130.64,9919.
1.56,2188.48,10280
1.82,2221.47,10161
1.7,2225.47,9722.
1.69,2171.00,10138
1.61,2167.69,10161
1.64,2219.84,10525
1.67,2190.05,9897.
2.63,2166.57,9730.
1.66,2162.57,10005
1.61,2161.14,9886.
1.64,2176.51,10266
2.68,2161.31,9761.
1.64,2161.31,9761.
1.64,2257.07,10277
2.62,2191.80,10169
2.65,2131.36,9630.
2.62,2199.89,10716
1.77,2162.20,10605
1.52,2183.85,9850.
1.47,2205.79,10569
1.49,2149.34,9869.
1.51,2157.98,10502
1.46,2165.38,10294
1.51,2183.21,10325
1.5,2183.14,9994.
1.51,2151.99,10658
1.5,2196.68,10280
1.49,2148.70,9847.
1.48,2165.39,9991.
1.47,2124.98,9555.
1.47,2155.48,9713.
1.48,2157.62,9655.
1.52,2172.58,10080
1.62,2178.83,10850
1.5,2171.00,10138
1.53,2237.72,9947.
1.5,2161.14,9886.
1.48,2133.57,9763.
1.51,2130.64,9919.
1.5,2131.36,9630.
1.49,2171.00,10138
1.49,2124.98,9555.
1.51,2147.16,9713.
1.48,2126.83,9688.
1.44,2128.95,9786.
1.52,2151.99,10658
1.48,2171.01,9836.
1.49,2131.36,9630.
1.51,2171.00,10138
1.5,2173.94,10411
1.53,2197.40,9927.
1.5,2189.39,9777.
1.51,2197.40,9927.
1.59,2182.10,10413
1.46,2165.38,10294
1.52,2206.47,10247
1.47,2192.72,9563.
1.46,2124.98,9555.
1.48,2128.95,9786.
1.47,2162.19,10316
1.47,2131.36,9630.
1.48,2161.31,10063
1.49,2179.31,9925.
1.48,2187.03,9769.
1.5,2149.34,9869.
1.47,2157.62,9655.
1.55,2210.87,10361
1.51,2256.71,10886
1.52,2191.11,10941
1.47,2167.70,10450
1.49,2167.69,10161
1.48,2171.84,9969.
1.49,2175.76,10241
1.47,2131.36,9630.
1.49,2176.81,10341
1.49,2167.70,10450
1.51,2161.14,9886.
1.47,2169.81,10888
1.5,2175.76,10241
1.51,2173.38,10533
1.5,2161.14,9886.
1.53,2193.27,11055
1.52,2171.01,9836.
1.5,2155.48,9713.
1.52,2126.83,9688.
1.49,2130.64,9919.
1.45,2157.98,10502
1.49,2149.34,9869.
1.46,2167.37,9738.
1.48,2215.60,10130
1.5,2130.64,9919.
1.52,2201.85,10188
1.5,2183.21,10325
1.48,2195.97,10091
1.48,2166.57,9730.
1.53,2185.96,10244
1.54,2166.57,9730.
1.45,2171.00,10138
1.45,2124.98,9555.
1.5,2131.36,9630.
1.46,2171.00,10138
1.5,2157.98,10502
1.45,2178.81,9602.
1.48,2171.84,9969.
1.48,2192.77,10211
1.51,2227.96,10775
1.53,2236.19,10077
1.46,2171.84,9969.
1.47,2166.57,9730.
1.48,2187.03,9769.
1.49,2169.25,10902
1.47,2222.20,10047
1.51,2166.57,9730.
1.5,2178.44,10400
1.51,2184.69,10188
1.51,2169.25,10902
1.46,2155.48,9713.
1.48,2186.77,9644.
1.49,2130.64,9919.
1.5,2167.67,10688
1.5,2207.25,10563
1.44,2152.20,10002
1.47,2133.57,9763.
1.46,2133.57,9763.
1.51,2155.89,9788.
1.51,2207.50,10347
1.46,2205.31,9638.
1.48,2126.83,9688.
1.48,2149.34,9869.
1.53,2231.02,9855.
1.48,2175.51,10569
1.5,2195.37,10383
1.47,2162.20,10605
1.5,2126.83,9688.
1.49,2175.00,10619
1.47,2167.67,10688
1.47,2124.98,9555.
1.52,2169.26,9897.
1.48,2157.62,9655.
1.49,2176.60,9813.
1.55,2163.26,10458
1.45,2133.57,9763.
1.49,2237.72,9947.
1.49,2130.64,9919.
1.48,2186.77,9644.
1.52,2184.47,10283
1.54,2192.67,10525
1.48,2149.34,9869.
1.49,2158.61,10086
1.51,2161.14,9886.
1.5,2161.14,9886.
1.46,2151.99,10658
1.52,2187.79,10333
1.46,2182.62,10086
1.48,2130.64,9919.
1.49,2128.95,9786.
1.48,2225.58,9863.
1.49,2200.29,10255
1.5,2190.05,9897.
1.46,2133.57,9763.
1.49,2161.31,10063
1.49,2177.88,9813.
1.5,2171.00,10138
1.49,2149.78,9944.
1.49,2158.18,9847.
1.45,2126.83,9688.
1.49,2222.31,10163
1.49,2225.96,10058
1.43,2171.00,10138
1.49,2167.37,9738.
1.49,2187.79,10333
1.52,2130.64,9919.
1.55,2181.50,10052
1.53,2124.98,9555.
1.53,2152.20,10002
1.53,2168.35,10027
1.51,2151.99,10658
1.51,2182.10,10413
1.48,2158.18,9847.
1.49,2167.67,10688
1.49,2161.31,10063
1.49,2131.36,9630.
1.43,2158.18,9847.
1.48,2146.76,9638.
1.5,2184.11,10202
1.5,2200.29,10255
1.47,2197.40,9927.
1.53,2201.43,10597
1.51,2181.50,10052
1.45,2178.44,10400
1.53,2197.95,10150
1.5,2174.57,10169
1.46,2165.38,10294
1.46,2183.56,10111
1.5,2192.88,10047
1.54,2193.12,10202
1.52,2185.18,10150
1.52,2128.95,9786.
1.49,2166.57,9730.
1.5,2186.30,10050
1.52,2171.00,10138
1.5,2171.00,10138
1.49,2176.51,10266
1.45,2161.31,9761.
1.45,2165.38,10294
1.5,2183.21,10325
1.51,2200.29,10255
1.54,2208.23,10169
1.57,2188.47,10375
1.54,2133.57,9763.
1.48,2128.95,9786.
1.5,2214.61,10033
1.6,2178.83,10850
1.51,2177.88,9813.
1.53,2195.37,10383
1.53,2165.39,9991.
1.49,2149.36,9772.
1.51,2165.28,10658
1.5,2192.72,9563.
1.48,2202.10,10252
1.47,2148.70,9847.
1.5,2126.83,9688.
1.52,2161.60,9797.
1.52,2147.16,9713.
1.47,2207.63,10325
1.5,2168.85,10161
1.52,2198.21,9902.
1.47,2157.62,9655.
1.5,2185.48,10102
1.47,2167.69,10161
1.49,2211.76,10283
1.51,2171.00,10138
1.49,2187.79,10333
1.46,2182.62,10086
1.51,2171.00,10138
1.54,2151.99,10658
1.49,2166.92,10236
1.46,2192.88,10047
1.52,2158.62,10375
1.5,2147.16,9713.
1.48,2158.62,10375
1.5,2204.12,10055
1.48,2133.57,9763.
1.5,2196.69,10050
1.52,2186.71,10361
1.46,2146.76,9638.
1.52,2211.84,10077
1.52,2155.89,9788.
1.52,2197.73,10177
1.51,2187.03,9769.
1.53,2165.38,10294
1.48,2218.67,10636
1.48,2165.99,10027
1.47,2167.69,10161
1.5,2130.64,9919.
1.5,2155.89,9788.
1.47,2130.64,9919.
1.48,2167.67,10688
1.55,2199.75,10547
1.5,2149.78,9944.
1.48,2131.36,9630.
1.5,2157.50,9922.
1.5,2171.01,9836.
1.46,2133.57,9763.
1.48,2130.64,9919.
1.46,2197.73,10177
1.46,2155.48,9713.
1.46,2176.60,9813.
1.45,2155.48,9713.
1.47,2161.14,9886.
1.51,2208.90,10286
1.49,2162.20,10605
1.5,2179.31,9925.
1.48,2161.14,9886.
1.52,2170.86,10644
1.49,2204.73,10130
1.47,2171.00,10138
1.47,2158.18,9847.
1.46,2175.51,10569
1.49,2149.36,9772.
1.47,2182.62,10086
1.5,2182.62,10086
1.5,2165.99,10027
1.51,2162.20,10605
1.49,2182.10,10413
1.51,2167.67,10688
1.5,2128.95,9786.
1.52,2221.25,10550
1.47,2183.34,10308
1.43,2131.36,9630.
1.53,2158.62,10375
1.52,2161.14,9886.
1.49,2133.57,9763.
1.5,2183.85,9850.
1.48,2128.95,9786.
1.47,2171.37,9872.
1.48,2130.64,9919.
1.5,2131.36,9630.
1.48,2202.10,10252
1.46,2161.14,9886.
1.47,2149.78,9944.
1.48,2195.37,10383
1.46,2158.18,9847.
1.5,2193.32,10127
1.54,2148.70,9847.
1.5,2171.01,9836.
1.48,2183.85,9850.
1.47,2155.48,9713.
1.5,2161.14,9886.
1.46,2191.80,10169
