RunTime,RealTime,RouteLength
35.1,5748.95,26261
42.9,6176.15,25925
40.1,6419.73,27236
43.9,6944.15,28413
38.8,6494.16,27430
42.8,8530.34,27200
46.1,7063.02,26761
29.8,6539.14,28560
38.1,7728.70,29111
40.0,7192.07,27211
32.0,7069.62,27688
35.5,6980.08,27188
40.8,6537.22,28344
42.5,6750.08,29233
41.3,7063.02,27097
36.3,6735.51,27047
40.4,6486.91,26716
32.4,7077.75,27505
43.8,6296.64,26413
29.7,6129.90,27619
42.7,7818.97,28769
41.1,8250.63,28480
34.6,6410.69,25763
40.3,7356.98,27194
36.6,6383.86,28044
32.8,7881.98,27311
42.6,7741.06,27272
34.2,6594.62,27447
40.2,7082.68,27277
43.6,6642.03,27055
42.4,6896.23,26361
35.0,6357.58,27569
43.1,7158.83,28161
33.5,6052.78,27577
43.9,6381.91,26458
42.5,7259.61,28344
39.7,6651.50,28391
37.9,7713.82,26686
41.8,8773.00,27450
30.7,5736.68,26819
35.3,9166.71,28027
38.1,7220.26,28313
42.6,8828.85,27897
29.6,5880.88,26986
42.0,8722.20,27250
37.6,7003.49,27272
45.8,7174.92,27230
29.0,6508.11,28027
36.8,6453.10,26194
42.4,7892.26,27255
34.4,6112.42,27863
36.9,8730.59,27727
36.4,6674.37,27669
36.3,7184.37,28933
39.5,6482.80,28075
40.9,6654.18,27227
44.0,8806.39,25797
32.3,9577.44,28302
42.4,6594.94,28322
33.4,6956.41,27616
36.9,6334.87,27116
31.7,6251.08,28441
35.1,6551.06,27605
40.0,6334.78,27250
41.1,6953.62,26780
35.4,6698.66,27197
34.6,7133.40,27500
39.7,6835.58,26991
40.9,6930.73,27211
31.3,6542.23,28197
44.2,6011.14,26975
40.8,6137.23,28227
41.7,6035.85,27530
43.3,6754.23,28225
35.7,6107.60,28077
37.0,8837.72,27261
38.2,6013.86,27222
35.5,7755.07,26622
39.8,6620.87,27419
31.3,9374.88,28225
34.8,6252.18,27972
38.0,6935.63,27822
40.1,6612.93,25991
34.1,6089.78,27483
42.6,7974.75,28522
32.2,7365.62,28025
39.2,6937.89,28472
41.3,6431.79,28205
44.0,9600.93,28527
36.9,6312.97,28650
35.3,8277.99,29225
36.3,6042.83,26975
40.0,6618.21,26097
41.5,5754.10,25980
38.4,5889.20,27533
33.0,6078.98,26808
37.1,6822.17,27297
38.2,7063.02,26944
42.4,7191.26,27575
44.2,6923.79,27000
38.3,8130.71,26969
45.2,7610.00,26141
31.8,7190.48,28883
35.3,9658.52,27544
35.8,6208.68,29205
42.6,9276.02,27313
40.6,7532.75,26825
46.6,6300.59,29158
29.4,6988.16,29241
30.2,6279.96,27375
29.9,6689.08,27097
30.9,6658.98,27800
29.5,6287.28,28077
29.3,6204.29,26605
29.7,5793.25,26925
30.3,6233.30,26797
29.1,5695.90,26733
30.0,6064.34,29488
29.5,7087.98,25738
28.4,6892.90,27800
30.2,6615.39,27911
29.5,7138.66,27455
29.0,8128.54,28519
30.0,6326.48,25819
30.0,6682.56,29269
29.9,6358.41,28388
28.9,6917.35,27902
