RunTime,RealTime,RouteLength
41.8,5389.42,26016
36.9,5393.03,25852
33.2,5399.07,25750
41.1,5388.59,25463
42.6,5397.50,25861
39.1,5403.27,25688
42.9,5383.98,25808
40.2,5397.60,25536
43.0,5391.83,25983
29.7,5450.50,25780
33.6,5404.15,25752
43.1,5425.98,25583
38.3,5402.54,25758
35.3,5389.13,25486
29.3,5387.68,25905
43.0,5394.34,25655
42.0,5388.28,25900
41.1,5419.69,25366
39.7,5391.80,25533
29.7,5389.02,25311
42.4,5427.97,25638
42.1,5404.10,25458
38.9,5393.15,26116
39.5,5393.56,25463
39.4,5398.44,25300
38.2,5384.38,25472
36.8,5415.27,25922
41.4,5411.27,26150
38.4,5392.25,25858
40.2,5396.93,25236
34.0,5384.05,25686
40.1,5384.46,25991
37.4,5392.47,25527
42.5,5387.97,25675
40.4,5407.03,25869
43.9,5397.97,25561
44.1,5389.98,25644
39.6,5388.88,25980
43.9,5393.14,25700
30.2,5399.19,25625
30.9,5391.75,25502
42.3,5406.36,25847
38.5,5406.63,25283
33.5,5388.99,25691
33.9,5441.98,25766
42.9,5400.02,25638
34.8,5389.57,25930
34.0,5414.93,25880
42.7,5416.45,25650
36.8,5459.54,25719
31.5,5389.51,26055
42.8,5396.58,25719
38.1,5415.95,25505
40.9,5384.15,25344
30.4,5388.59,25463
39.7,5383.40,25508
40.1,5426.68,25552
40.9,5398.23,25713
35.8,5392.56,25861
33.4,5396.28,25497
38.0,5381.86,25936
41.1,5389.02,25311
32.0,5392.47,25527
42.8,5396.92,25608
39.9,5405.02,25522
37.5,5430.65,25280
42.1,5392.13,25758
32.2,5389.25,25936
42.5,5441.55,25452
42.0,5420.99,26080
31.2,5396.32,25511
32.5,5378.64,25650
42.1,5402.36,25433
42.3,5388.97,25566
39.3,5404.10,25458
28.6,5388.57,25755
36.2,5388.97,25566
30.6,5430.31,25633
30.3,5405.02,25522
41.3,5392.56,25861
41.5,5394.27,25766
33.4,5394.51,25650
39.2,5422.08,25383
42.0,5389.19,25913
39.6,5415.93,26002
33.5,5405.02,25522
36.3,5384.15,25344
32.3,5388.59,25463
37.6,5402.47,25463
30.9,5398.87,25925
41.0,5379.47,26008
38.1,5408.58,25683
43.3,5413.37,25719
36.3,5385.35,25713
34.0,5406.36,25847
36.1,5415.84,25897
40.1,5396.93,25236
31.3,5495.91,25836
33.4,5385.96,25675
35.1,5398.43,26077
42.8,5406.63,25283
33.3,5393.58,25616
38.6,5391.78,25694
38.0,5388.39,26000
41.4,5397.36,25750
34.2,5406.36,25847
39.4,5392.29,25338
40.0,5404.15,25752
31.0,5394.74,25894
40.3,5384.39,25827
39.3,5400.67,25658
28.3,5388.28,25900
28.3,5403.36,25527
27.8,5415.07,25577
28.8,5383.63,25472
27.6,5379.47,26008
28.6,5388.11,25694
29.0,5397.66,25566
27.8,5426.41,25422
29.1,5397.97,25561
28.6,5387.20,25852
29.3,5403.27,25688
30.4,5388.99,25691
28.3,5385.75,25447
28.5,5383.19,25605
29.2,5402.54,25758
29.4,5388.55,25916
28.6,5400.41,26055
30.1,5434.95,25580
